U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2
EHI_000010A	1.08175867590024	0.780114227113923	1.04137163611552	0.294486268556803
EHI_000130A	9.11768026830199	10.6095534887493	22.3421551021147	54.1854734144517
EHI_000140A	18.0808235829039	31.2045690845569	45.0629907991805	42.7005089407364
EHI_000240A	105.394202423423	131.371235845985	149.957515600634	242.067712753692
EHI_000250A	65.2145944614142	61.3169782511543	41.4655251471451	40.9335913293956
EHI_000260A	15.9173062311035	16.5384216148152	13.9165118644528	8.39285865386888
EHI_000280A	6.18147814800135	5.30477674437467	7.00559100659529	10.4542625337665
EHI_000290A	2.3180543055005	2.96443406303291	2.36675371844435	1.76691761134082
EHI_000300A	11.4357345738025	14.1980789334734	17.0406267727993	14.4298271592833
EHI_000410A	2.3180543055005	2.34034268134177	3.59746565203542	3.09210581984643
EHI_000430A	2.78166516660061	3.58852544472404	3.3134552058221	1.76691761134082
EHI_000440A	43.7339578971095	33.7009346113215	51.5952310620869	34.6021365554243
EHI_000480A	3.24527602770071	2.65238837218734	3.21878505708432	2.79761955128963
EHI_000510A	1407.21350039251	1462.55815299318	1189.81442933635	1517.19325560465
EHI_000520A	2.16351735180047	1.56022845422785	2.17741342096881	2.50313328273282
EHI_000540A	5.09971947210111	2.18431983591898	4.16548654446206	1.61967447706242
EHI_000550A	42.9612731286094	45.2466251726075	36.7320177102564	33.1297052126403
EHI_000560A	3.55434993510077	8.1131879619848	5.96421937047977	6.03696850541446
EHI_000570A	8.65406940720188	6.70898235317974	6.34289996543087	6.03696850541446
EHI_000580A	20.0898039810044	20.4389927503848	17.7033178139638	14.7243134278401
EHI_000590A	1641.49152220176	1579.26324136943	1324.34071069272	1448.57795503091
EHI_000610A	173.081388144038	195.496625314749	184.796130336135	335.567103020477
EHI_000620A	0.463610861100101	1.40420560880506	2.36675371844435	4.12280775979524
EHI_000650A	10.6630498053023	8.26921080740758	9.75102531999074	7.80388611675528
EHI_000660A	3.09073907400067	2.34034268134177	3.12411490834655	1.32518820850561
EHI_000670A	2.47259125920054	0.624091381691138	1.04137163611552	1.47243134278401
EHI_000690A	0	3.27647975387848	17.4193073677504	43.8784540149636
EHI_000700A	10.3539758979023	9.82943926163543	7.47894175028416	7.65664298247687
EHI_000710A	4.17249774990091	3.43250259930126	4.35482684193761	3.82832149123844
EHI_000720A	19.3171192125042	21.8431983591898	20.6380924248348	15.755015367789
EHI_000730A	59.805801081913	72.8626688124404	86.7178562438011	122.948017122465
EHI_000740A	16.3809170922036	16.0703530785468	11.739098443484	11.6322076079937
EHI_000770A	1.54536953700034	1.09215991795949	0.757361189902193	0.588972537113606
EHI_000780A	3.09073907400067	4.21261682641518	2.65076416465768	4.27005089407364
EHI_000790A	6.64508900910145	8.1131879619848	6.72158056038197	5.88972537113606
EHI_000800A	34.7708145825076	31.6726376208253	32.5665311657943	31.0683013327427
EHI_000900A	1.3908325833003	1.71625129965063	2.5560940159199	5.15350969974405
EHI_001050A	77.1139398963168	66.621754995529	73.2746951230372	72.7381083335303
EHI_001060A	0.772684768500168	1.24818276338228	2.08274327223103	2.35589014845442
EHI_001070A	63.9782988318139	91.5854102631745	84.4457726740946	95.8552804152393
EHI_001100A	3.09073907400067	2.49636552676455	2.36675371844435	2.79761955128963
EHI_001120A	5.56333033320121	10.4535306433266	9.94036561746629	13.2518820850561
