pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_015320A	10271.9723850028	22227.3290463248	-4.38072027948128	0.99999999999998	-1.11362136783586	23177.3237268228	20768.7324849865	22565.4961887405	9459.55075119903	10633.9425786061	10069.7100652308	23548.5313464947	21120.4813269908	21926.4516786167	9545.0357780861	10934.4288049332	10337.1933948332	100	DOWN_pEhEx_UP_CDC5
EHI_156690A	29997.2787140508	75561.7957237148	-2.76851981072354	0.999999999999978	-1.33282535914233	71755.1289160078	62152.3014259733	91640.2954096508	33862.8303302546	31228.065773362	23322.1467129359	72904.3578312225	63204.9414977878	89045.0842431056	34168.8453871417	32110.4857761378	23941.6566507436	100	DOWN_pEhEx_UP_CDC5
EHI_188960A	7215.08430182809	1484.50523823998	3.4084732052251	0.999999999999972	2.28103406737874	1282.46998168779	1529.47972987307	1635.61149047856	6109.49115014264	8840.27538410998	6292.00075501734	1303.00999893974	1555.383704718	1589.29172268161	6164.70201892201	9090.0774655325	6459.13618403274	100	UP_pEhEx_DOWN_CDC5
EHI_143430A	108931.392665834	309134.523606311	-2.07439981684229	0.999999999999415	-1.50481500021393	232101.995888846	259938.665522505	430397.309184259	114640.391003064	137189.304860414	70233.8325071526	235819.337478	264341.106771907	418208.654642576	115676.384906474	141065.900601383	72099.4651071039	100	DOWN_pEhEx_UP_CDC5
EHI_023840A	22470.1700225168	37042.6181218761	-2.05293149146608	0.999999999896921	-0.721175029087445	37282.5402540947	31453.7306157179	41912.2479818634	21524.4459584337	25158.9747129807	19455.1921086532	37879.6567799784	31986.4455191812	40725.3123277244	21718.9602530215	25869.8987483401	19971.9835087597	100	DOWN_pEhEx_UP_CDC5
EHI_044730A	3014.87551230354	6493.56824314284	-2.03324079905504	0.999999992900345	-1.1069130303211	6448.51675669246	5410.16287328139	7531.14076984231	3078.86649132161	3281.04292551414	2518.09199603542	6551.79609057412	5501.7918895012	7317.86231482044	3106.68990405175	3373.75625359703	2584.98047911801	100	DOWN_pEhEx_UP_CDC5
EHI_188760A	3244.45635758112	6995.11413668004	-2.03210689397417	0.999999991092437	-1.10837083759059	7799.21450274262	6489.26223576088	6645.77154876507	4256.26139408776	2137.86500863501	3124.34958028482	7924.1265885812	6599.16737698899	6457.56634431254	4294.72480839588	2198.27524539272	3207.34218118027	100	DOWN_pEhEx_UP_CDC5
EHI_016370A	1512.58197238192	3787.54075011083	-2.02106325734998	0.999999925090084	-1.3242480811519	3761.64330731243	3229.39732465562	4322.81256104137	1750.88001421103	1439.91444686235	1261.47203839862	3821.88972206764	3284.09188871439	4200.3924904911	1766.70254416277	1480.60250354247	1294.98072324112	100	DOWN_pEhEx_UP_CDC5
EHI_108690A	1512.58197238192	3787.54075011083	-2.02106325734998	0.999999925090084	-1.3242480811519	3761.64330731243	3229.39732465562	4322.81256104137	1750.88001421103	1439.91444686235	1261.47203839862	3821.88972206764	3284.09188871439	4200.3924904911	1766.70254416277	1480.60250354247	1294.98072324112	100	DOWN_pEhEx_UP_CDC5
EHI_187740A	42693.7505671332	57501.9330847205	-2.0030513324007	0.999998301716812	-0.429585550763676	57589.2053215936	54519.4116344681	59977.1399049942	46956.1189913695	37992.6450819248	40435.7825641916	58511.5530472494	55442.7775607732	58278.6147908718	47380.4568061416	39066.2136539255	41509.8847662695	100	DOWN_pEhEx_UP_CDC5
