pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1.1	CDC5_2.1	CDC5_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	DE	Regulation
EHI_119540A	7670.35141040585	2337.11314190681	2.1460143420341	0.999999999999997	1.71456509697401	2240.47416436503	1800.2486226437	2928.6340079654	6084.408619947	10514.732231465	6029.02935132448	2276.3575601916	1830.73846446687	2845.69643507544	6139.39282037557	10811.8498983809	6189.17942860737	100	UP_pEhEx_DOWN_CDC5
EHI_134840A	113.314584724348	26.0740061319632	1.03455056837022	0.985724389987511	2.11964939502687	24.7378380849715	31.6965032475008	21.9835682592761	68.0842771109113	137.232253457596	126.778384348974	25.1340388758645	32.2333298603408	21.3610036814127	68.6995480061676	141.110062808833	130.146018982702	98.57	UP_pEhEx_DOWN_CDC5
EHI_140640A	84.1133194021271	7.62662605537165	1.00251775594758	0.982156166528269	3.46321740116764	3.46141099189763	3.46141099189763	15.641570404871	67.6884240052916	162.500958308604	20.8294402760626	3.51684889103355	3.52003504654233	15.1986082996578	68.3001176150862	167.092792369748	21.3827360514826	98.22	UP_pEhEx_DOWN_CDC5
EHI_147570A	3210.99494746839	1125.07770829825	1.99409152635915	0.999999999999991	1.51299574419098	1065.06580469675	1116.95368377734	1187.24091658214	2553.30640150568	3963.37319745542	2930.06662549578	1082.12388037517	1135.87092704797	1153.61879794623	2576.38037955438	4075.3673188103	3007.89845698522	100	UP_pEhEx_DOWN_CDC5
EHI_148470A	798.810469144203	184.723493036336	1.38144925820202	0.976169120908302	2.11248588156553	161.769374583342	223.760557373088	169.842927998403	446.461573492424	1115.0274238199	786.756519006253	164.360270114796	227.550269479936	165.033054117815	450.496202685487	1146.53505895693	807.655259081882	97.62	UP_pEhEx_DOWN_CDC5
EHI_159820A	129.13106951157	36.2768247610366	1.0517567666524	0.988081144743352	1.83171607102383	33.5303515363529	42.9617712860583	32.536361625978	111.983812437672	127.79706495906	138.7019976833	34.0673730720259	43.6893916794188	31.6149467763965	112.995799102677	131.408261606151	142.386361177632	98.81	UP_pEhEx_DOWN_CDC5
EHI_163670A	5221.65900779127	1533.42460729206	2.10031832868736	1	1.76775101133037	1783.79944077658	1528.37013662285	1283.74999944462	3269.80574096047	6173.14323502273	5858.0422931386	1812.36874205516	1554.25531888421	1247.3947878129	3299.3546528521	6347.57943322079	6013.6504136674	100	UP_pEhEx_DOWN_CDC5
EHI_169350A	6608.59164139475	909.736419855102	1.42286939076995	0.993663055438743	2.86082233596703	635.423153678396	396.29030437093	1661.21478970038	3013.86439062877	14370.6821844157	2316.45394886274	645.600080019911	403.002059927548	1614.16994820365	3041.10038578787	14776.758484661	2377.98628803623	99.37	UP_pEhEx_DOWN_CDC5
EHI_179390A	410.796554229598	111.755522488719	1.00439713378704	0.982267575557547	1.87807795524766	107.88393134238	68.7317357416108	155.654519218461	351.789093843109	597.701186222541	265.782604070457	109.611798538199	69.8958081506294	151.246454571864	354.96817717769	614.59059225343	272.842630171173	98.23	UP_pEhEx_DOWN_CDC5
EHI_181610A	84.6963151320774	469.378220441653	-1.32945242484388	0.985507722396247	-2.47037979215533	403.861081857183	313.815360138113	678.806954973951	103.624873468003	95.1378930876924	51.6931698370175	410.329314024162	319.130281961655	659.583453111566	104.561321226207	97.8262305752527	53.0663038295692	98.55	DOWN_pEhEx_UP_CDC5
EHI_188960A	7215.08430182809	1484.50523823998	3.4084732052251	0.999999999999972	2.28103406737874	1282.46998168779	1529.47972987307	1635.61149047856	6109.49115014264	8840.27538410998	6292.00075501734	1303.00999893974	1555.383704718	1589.29172268161	6164.70201892201	9090.0774655325	6459.13618403274	100	UP_pEhEx_DOWN_CDC5
EHI_194430A	151.255675800189	28.1466388007178	1.17608795784813	0.990286386599926	2.42595472510646	20.4648752478599	32.2512400082591	31.7577848197189	107.899258118786	210.850051918827	127.063623974524	20.7926403391697	32.7974618989936	30.8584189084628	108.874333069382	216.808099552958	130.438835474348	99.03	UP_pEhEx_DOWN_CDC5
EHI_195110A	19.9824078947138	518.734417733231	-1.32082501638974	0.983658612209922	-4.69819375034959	1052.54388075796	495.689679036532	9.92326015595398	1.68333939629312	1.68333939629312	53.3225594064409	1069.40140551714	504.084908293813	9.64223797624423	1.6985515683441	1.73090597840326	54.7389751364435	98.37	DOWN_pEhEx_UP_CDC5
EHI_196580A	152.233482410608	50.6394916427976	0.974976657773166	0.98184211724188	1.58795087468333	47.2059858412882	53.5391686201989	51.0844500469952	130.418378291554	165.923403033716	150.687615421348	47.9620361016609	54.4459326982496	49.6377618340628	131.59695630948	170.6119460523	154.69035480924	98.18	UP_pEhEx_DOWN_CDC5
