CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	64.2814405310696	148.598046749718	96.0080473919544	255.807634450665	610.594980730218	404.622460486736
EHI_000140A	53.6416536336214	249.450611941837	415.725772456907	295.498120143739	277.118062098374	74.2119433737136
EHI_000240A	803.558245680637	1457.45453410168	830.438901304353	1425.05719146341	2274.56319250671	2303.91205907992
EHI_000250A	825.571684005264	499.046983302476	359.992859703701	402.653622299043	393.283890105855	698.478563193787
EHI_000260A	76.5639662311655	87.2922803050239	58.3915851825283	93.0997307803642	56.243527899079	94.4701103715214
EHI_000280A	69.2527325280381	59.7804884977993	77.3302891991551	69.0553796147654	100.9600036958	68.2598887593025
EHI_000290A	44.2530842034429	25.1657115938386	16.4367153512208	32.6129369752816	24.7154620489547	59.5907485167324
EHI_000300A	53.8763511383011	123.491225352147	159.987808370121	122.732807336127	103.105668314722	54.1793746633577
EHI_000410A	23.333355141435	31.5663032449072	18.8963798261124	42.717683061827	36.6574953242492	57.5276793284847
EHI_000430A	27.3336063372439	27.4309704471789	30.3086593765108	27.5983547558155	15.438581117727	17.8309676317547
EHI_000440A	412.830243645734	332.37760565493	418.511950634459	481.740750818962	320.305638739159	340.396783559026
EHI_000480A	21.6385793768257	27.4138430110391	28.053125493499	25.845134158132	22.4769410898288	19.9079668015735
EHI_000510A	11356.5468214779	11983.2249105426	13030.159214595	10095.6778887683	12735.3830593029	9810.59449181837
EHI_000520A	21.6634951061109	15.3064117139512	28.0735820250946	23.0828214441995	25.9633911471072	15.6731815678015
EHI_000540A	42.5687915344183	35.9244501279613	25.934262468101	55.9660875570858	23.019971588383	55.4283508957156
EHI_000550A	237.089811924337	292.043716740726	339.150718755814	274.48867317105	245.116779156327	190.926093847443
EHI_000560A	36.297231433314	71.9103296063262	122.984064144968	42.9817317435233	43.035306802669	17.1890337713748
EHI_000570A	116.965856223432	58.9558409984298	53.476876243507	75.0780401378466	70.8219759403676	114.274339312877
EHI_000580A	224.222075133646	175.426596998033	149.484837158844	167.786202616634	138.418852924456	198.133106025781
EHI_000590A	14904.4803225674	12361.1939181833	15582.7055806486	10490.0623134903	11351.3233951334	9096.52741443313
EHI_000610A	2018.00908370111	1722.32840380275	1296.72313373788	1915.60761582418	3439.60322115406	3669.21564566263
EHI_000620A	9.97282785005336	12.3798866709196	10.0357141596158	31.1923991495747	52.0464913179589	45.4733943914368
EHI_000650A	78.6499404925931	74.2839433572621	58.2493136485049	72.3813259203452	57.6820360175721	80.1518699499081
EHI_000660A	21.0965780456899	22.1300025579992	14.2664808913279	27.4959399190079	12.6460926887622	27.1726520103202
EHI_000670A	40.6256203204655	13.0975335595478	9.42581772930068	18.5004190132063	24.8016800670407	56.4248054157394
EHI_000690A	1.37218165370037	45.0658610339366	69.3794626232698	57.9907195688347	142.471323453792	5.4413635735325
EHI_000700A	69.9945486452748	64.7099668550476	77.3304976405985	56.2447902433968	56.9391401650692	46.6531048537665
EHI_000710A	32.0997975900478	23.9591101694563	33.9938808090207	29.961895323754	26.2796407671175	21.3786399726201
EHI_000720A	157.144942743695	166.561444097367	139.25020362981	186.756701522167	141.530705336483	183.94842480897
EHI_000730A	748.735567616644	725.529941941586	560.215280008794	1015.99342498243	1424.13919155059	1600.92465480068
EHI_000740A	140.522070682529	87.0222958672461	166.465143739025	86.6018427502348	84.9282992422128	54.0174371359655
EHI_000770A	18.8522779451414	20.9392487501248	9.34549504571621	13.8717944212909	11.2783494554651	28.0865111230618
EHI_000780A	18.2118909889646	29.9937912770533	74.560239968175	16.4427504089379	25.2355217967536	6.37205402679828
EHI_000790A	140.218751116035	77.6590311819002	62.4469046086936	92.3271137882037	80.3626549255155	148.475588977322
EHI_000800A	477.727279160195	287.616766245141	250.118906890443	310.197213194746	292.874865105408	438.461109387214
EHI_000900A	26.0850723975638	21.3332052735313	23.7453892908773	37.5789933175185	72.4387841705323	53.4363575382217
EHI_001040A	25.7378809732334	20.7055001360878	10.2542899753488	12.0768567405668	7.55945539859716	22.4858019230988
EHI_001050A	636.162889375401	671.750073940431	522.12866628695	726.158108230619	713.168534682862	889.864649452255
EHI_001060A	10.3704636543644	2.16502731188262	6.04002497061779	24.0310687469045	26.629897132286	16.7287677957061
EHI_001070A	394.916178014442	692.623131664523	905.029045684454	627.168112342159	704.066701605946	364.137542279983
