pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_169310A	21.3683337963225	127.981883208096	-0.890456490969583	0.870554457460106	-2.58239327759492	78.0774884043319	21.439733878833	269.586960062929	33.6772393553663	25.7405700323134	4.68559121535422	79.9801808695283	21.7005477616137	282.284533956108	34.3534381911409	25.9470270946226	4.70770589663376	87.06	DOWN_pEhEx_UP_UmasM
EHI_135790A	45474.6753139395	36742.3489487967	0.975405248369008	0.869635792230307	0.307619475868931	44217.4343965833	31556.5670560486	31337.2465259411	45600.1371226519	40197.3034189504	49352.2177637719	45294.981599703	31940.4519879993	32813.2341007075	46515.7335380269	40519.7134186594	49585.146441525	86.96	UP_pEhEx_DOWN_UmasM
EHI_189490A	5475.10298985246	3785.27363987169	0.993785620170088	0.86955758439237	0.532488505561336	5059.79166506568	2998.74390286192	2989.51884801507	4437.14451622339	5649.55324937614	6200.02370445517	5183.09516359432	3035.22355532358	3130.32549707875	4526.2370907178	5694.86654918891	6229.28608391762	86.96	UP_pEhEx_DOWN_UmasM
EHI_145840A	5045.99519165534	3705.02867550291	0.973241569812862	0.86883271973778	0.445654123084854	4288.55117223641	3571.44827115807	2941.23302689628	4094.70129536203	5213.16694876147	5702.81252204656	4393.06009239746	3614.89485944201	3079.76540875688	4176.91801804383	5254.98013052931	5729.72820365975	86.88	UP_pEhEx_DOWN_UmasM
EHI_126140A	21238.2774969139	17248.2444837332	0.997379101593956	0.867916747705385	0.300217230264674	18146.5329486323	17933.7703695178	14161.9259172852	19498.3918416664	19593.8377205215	24026.1532483665	18588.7509581564	18151.9342846766	14828.9541027823	19889.896315168	19750.9937652425	24139.5499782647	86.79	UP_pEhEx_DOWN_UmasM
EHI_180390A	53.7164178676452	7.72451200330958	0.970699594770936	0.867730666413489	2.79784740180113	7.40380570755317	9.48054167378477	5.61450894977021	6.677782048419	118.864407302427	36.4273036239883	7.5842311492706	9.59587225105676	5.87895290598746	6.81186395457079	119.817781540603	36.5992303185061	86.77	UP_pEhEx_DOWN_UmasM
EHI_107170A	51.8623613280265	196.431905497181	-0.716892852253994	0.86421490656782	-1.92126947908705	447.716002943031	72.3678975892041	58.2441622406151	65.3155469297904	13.9940632549751	73.6138602194571	458.62652123399	73.2482514436681	60.9874683475718	66.6270052808107	14.106305259941	73.9612970703661	86.42	DOWN_pEhEx_UP_UmasM
EHI_012240A	1070.24701077831	1594.10766702927	-0.713664247713411	0.864210608304049	-0.574805267081059	1675.85975253819	1001.40248148343	1955.79529698873	1222.23062727726	1132.38289913041	838.273093448501	1716.6992542825	1013.58452025769	2047.91345914928	1246.77156183819	1141.46538823109	842.229508217693	86.42	DOWN_pEhEx_UP_UmasM
EHI_126270A	13.1982852940994	32.0585178636249	-0.711646478727408	0.864083165498283	-1.28035721954945	40.4304577531682	26.5751511882285	26.4993259816508	16.1026180204615	9.51068526507101	13.57360555212	41.4157190481143	26.8984373076391	27.7474469949703	16.4259394021063	9.58696749727912	13.637669177563	86.41	DOWN_pEhEx_UP_UmasM
EHI_176850A	18.7870726998392	45.842354722239	-0.719878957674205	0.863985775519861	-1.28694085964038	50.4964506402958	32.9036038661109	49.9779461209749	15.0392876523701	25.6213629948455	15.5159020186927	51.7270129715902	33.3038754707071	52.3319125878704	15.3412586273097	25.8268639347871	15.5891327407376	86.4	DOWN_pEhEx_UP_UmasM
EHI_058110A	13.0268310523749	32.7574261633899	-0.71054079164241	0.863972775681573	-1.33033583302828	40.9058553124841	19.302303174899	35.1974453835528	16.053194172156	12.1078645745444	10.64907306089	41.9027017054216	19.5371152610054	36.8552487265056	16.3755231818212	12.2049779697707	10.6993337101528	86.4	DOWN_pEhEx_UP_UmasM
EHI_045580A	71.8743282458766	151.85875499402	-0.708092474616728	0.863636120508749	-1.07918161311387	136.957832478889	121.039850580106	182.989824840264	90.1764667714325	62.5391549965279	61.2496470929595	140.295396752957	122.512297653349	191.608664646413	91.9871027680969	63.0407620007114	61.5387283127437	86.36	DOWN_pEhEx_UP_UmasM
EHI_131230A	337.000082954129	696.401247784961	-0.708042978103977	0.863628002917637	-1.04716984142356	1201.32511276429	268.990567686467	567.031215061594	240.791497577361	468.589916073235	298.08607534342	1230.60054524837	272.262831921936	593.738444340426	245.626303916685	472.348329246632	299.492958327255	86.36	DOWN_pEhEx_UP_UmasM
EHI_135760A	55.8933687111099	176.797076081861	-0.707535238370128	0.863543795950446	-1.66134538082086	18.7439941425124	351.41408193822	141.770718084148	62.4788173809864	62.0809943224033	42.2969446574811	19.2007718533674	355.689026379792	148.448133669614	63.7333175829712	62.5789265631015	42.4965744175706	86.35	DOWN_pEhEx_UP_UmasM
EHI_104390A	3815.16442638587	2751.14504695204	0.96269178247878	0.86349628528286	0.471713031837876	3366.67043153502	2369.0940541824	2286.3732227036	3204.27685772309	3974.85446385668	4174.10016496096	3448.71377839204	2397.91403032744	2394.06163959101	3268.61491874491	4006.735528444	4193.80075140445	86.35	UP_pEhEx_DOWN_UmasM
EHI_092430A	9748.41356449694	6189.66462809728	0.962471133610212	0.863369665957342	0.655306214288262	2619.38733797345	8656.11108730505	6656.53610717065	8922.99045058764	12706.2073169507	7517.32714809016	2683.21993112224	8761.41248494458	6970.05965101596	9102.15346601912	12808.1198321924	7552.80683172309	86.34	UP_pEhEx_DOWN_UmasM
EHI_168450A	6.93819596490497	25.9578001567484	-0.704695695973915	0.862967979400387	-1.90353563026581	45.5575568044523	19.1278263904102	11.4253836583235	3.21028585402024	6.08971009200731	11.2345946013097	46.6677618307166	19.3605159703384	11.9635204184458	3.27474456852726	6.13855375220334	11.2876187486358	86.3	DOWN_pEhEx_UP_UmasM
EHI_078540A	10.9052803785851	32.0163395685443	-0.704322469959843	0.86288278838597	-1.55378151115612	43.9968300625563	11.3966726620973	37.8728247717427	10.2162696456135	14.46607785459	7.9402092616712	45.0690012960754	11.5353129299561	39.6566387624876	10.4214001661834	14.582105741045	7.9776848307177	86.29	DOWN_pEhEx_UP_UmasM
EHI_130660A	159.891821247437	309.433647846408	-0.727100591829053	0.862478952026361	-0.952533939848345	296.384030248202	227.659655724569	374.821786813358	193.776851788006	144.523409445213	137.790641426851	303.606696764284	230.429130341073	392.475932005414	197.667660063484	145.682586515165	138.440974752659	86.25	DOWN_pEhEx_UP_UmasM
EHI_197060A	95.3107917563322	186.064186081493	-0.70164369799603	0.86219066725121	-0.965088909427867	172.588258465591	184.068516578408	184.388833811993	116.056130843096	71.1361314107399	95.9052184804905	176.794110698738	186.307705962838	193.073567086401	118.386399655587	71.7066920741855	96.3578643136972	86.22	DOWN_pEhEx_UP_UmasM
EHI_197990A	1286.54996956647	2136.37468956609	-0.879775451128594	0.861237192097125	-0.731657204896742	2466.14257462158	1281.08121167473	2468.41095020797	1153.09425747495	1815.28735153913	884.240971999206	2526.24070265732	1296.66553594212	2584.67336301786	1176.24701611455	1829.84720368597	888.414342310724	86.12	DOWN_pEhEx_UP_UmasM
EHI_125780A	5228.83315018076	3384.92090245895	0.958214887888449	0.860915444819617	0.627366913293824	1940.14097542251	4198.7538898934	3676.41350165454	4341.19434187246	6990.37849349251	4300.34379166443	1987.42082126282	4249.83163698916	3849.57296043639	4428.36035120207	7046.44613326833	4320.64021275072	86.09	UP_pEhEx_DOWN_UmasM
EHI_160990A	22134.0257955006	28502.395296466	-0.696298585394059	0.860489394702698	-0.364817289976652	35370.3074913958	16639.7288044419	30992.8119744381	25123.4563659378	21911.0815557278	18923.5134657982	36232.2565490684	16842.1507329243	32452.5766459599	25627.9054321459	22086.8234885729	19012.8271617121	86.05	DOWN_pEhEx_UP_UmasM
EHI_014010A	21.2136032736256	53.3572052139323	-0.695922020558311	0.860356951565893	-1.33069340870698	60.2177092544349	29.3904983294957	65.5428222022174	23.3179616665257	25.8557199788342	14.2543519359963	61.6851716947795	29.7480330838679	68.6298959534326	23.7861585506337	26.0631006228533	14.3216284941557	86.04	DOWN_pEhEx_UP_UmasM
EHI_117990A	5.73634856865711	25.5867154286675	-0.694146977306682	0.859707240751584	-2.15719036319903	4.86337518957668	57.4167752287517	11.9849927768282	4.86337518957668	4.86337518957668	7.29192573200926	4.98189215929157	58.1152490143307	12.5494871847086	4.96102596808691	4.90238280103544	7.32634158394039	85.97	DOWN_pEhEx_UP_UmasM
EHI_142260A	21.790992968837	53.1696771647684	-0.693906253139081	0.859616150533065	-1.28687176823079	59.1598940972398	30.214959687565	65.21665898645	19.3178897147554	27.7646388957483	18.0256036004854	60.6015783399208	30.5825239959054	68.2883704162366	19.7057699206387	27.9873303814184	18.1106794127308	85.96	DOWN_pEhEx_UP_UmasM
EHI_189960A	23.266263977791	55.2960204222003	-0.734557098249771	0.859516361636674	-1.24893608944876	58.3065006638045	53.8851602081141	48.8270161113186	27.3940035502083	14.9525811863013	26.6251737471717	59.7273883198018	54.5406719760102	51.1267736549038	27.9440424982465	15.0725111638343	26.750837127601	85.95	DOWN_pEhEx_UP_UmasM
EHI_006040A	67.4453986482443	136.623455977849	-0.693602307225668	0.859501525845686	-1.01841326552584	132.064734022862	127.776734275909	137.503771103429	82.2687736033356	48.6970332604997	69.2898424371366	135.283056992502	129.331135388528	143.980213041752	83.9206325441521	49.0876169351237	69.6168711323385	85.95	DOWN_pEhEx_UP_UmasM
EHI_155410A	16209.8846488401	12433.4161785147	0.854766461174416	0.859273323089564	0.382651081907134	15763.8017557143	11007.1813324255	9507.41248312623	14981.8171295124	13883.6675471314	19260.484131212	16147.9543128269	11141.0834469762	9955.21260116329	15282.634164836	13995.024102649	19351.3882345097	85.93	UP_pEhEx_DOWN_UmasM
EHI_111050A	1694.98406665088	1093.53465380009	0.856087293898029	0.85926314895788	0.632272771964127	791.150113258662	1341.27520033387	1043.88356604683	1369.01361655345	2114.15872233058	1576.04965981611	810.429874814786	1357.59178312606	1093.05059071546	1396.50177862947	2131.11572827566	1583.4881738276	85.93	UP_pEhEx_DOWN_UmasM
