pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	DE	Regulation
EHI_000640A	11.1469646055405	48.8095823001023	-1.02879558004893	0.957760256861715	-2.13051349764103	36.6682696455239	52.7404359789876	51.9971257418897	15.3598265477985	7.17612991565392	11.2761904267424	37.0292092853025	53.872968686612	52.8902439739844	15.4458227217152	7.32114125802778	11.0145592843499	95.78	DOWN_pEhEx_UP_EhMyb10
EHI_004430A	51.3307191660317	4.63427074639572	1.10920158760731	0.958947988130831	3.46940823563379	2.2119970621234	2.2119970621234	8.83676776162666	65.6474085951593	79.1999035398619	12.3008681157778	2.23377058540422	2.25949684052914	8.98855073593706	66.0149534986883	80.800332247701	12.0154623133077	95.89	UP_pEhEx_DOWN_EhMyb10
EHI_049360A	24.5899757930001	111.26595659701	-0.970616091032187	0.96557534021544	-2.17787002729229	91.0157589261275	57.211642570251	172.787564150808	29.9370963721276	28.6714734352638	16.3578216907305	91.911661447805	58.4401886614046	175.755415192966	30.1047073629267	29.2508510245148	15.9782861016676	96.56	DOWN_pEhEx_UP_EhMyb10
EHI_049690A	2402.733341103	831.094062653169	2.51839503722841	1	1.53159287034477	1049.93285654481	648.517995726853	730.296266109886	2352.8129918731	2375.05580259188	2577.77400794526	1060.26774255651	662.444081623001	742.840053882524	2365.98585646327	2423.04964247421	2517.9642731851	100	UP_pEhEx_DOWN_EhMyb10
EHI_057550A	237.873271146432	911.888608455967	-1.67431115517316	0.967196141902135	-1.93866443198412	646.907326128095	954.31724977896	1037.17247896068	302.486568789963	218.15675522002	202.758058718481	653.275079488698	974.809979479856	1054.98726463527	304.18012226182	222.565148642966	198.053648760487	96.72	DOWN_pEhEx_UP_EhMyb10
EHI_103400A	9.14655158218729	63.6259773283781	-1.31124265948094	0.988042418090196	-2.79831608340112	38.2765316597635	92.9376635113193	53.1852496379153	9.13571948814648	8.45409076598016	10.203511619894	38.6533020305175	94.9333797344217	54.0987754425131	9.18686830284907	8.62492644829564	9.96676886365273	98.8	DOWN_pEhEx_UP_EhMyb10
EHI_126980A	89.4259234248865	12.9272467462136	1.20214360577602	0.980404108030228	2.79027806907757	8.45015319900203	16.3986245515707	12.5893881108004	46.8441957286778	148.503551332222	78.1045114686873	8.5333312513401	16.7507638223212	12.805627218102	47.1064657217885	151.504430577593	76.2923238602642	98.04	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	625.901385596589	120.575116023595	1.37397125769733	0.968322216072652	2.37600317173248	137.204651990225	74.3345876017019	139.248726255114	373.204648316994	1099.07419853608	444.023753717887	138.555209247059	75.9308268098919	141.640504155142	375.294136225164	1121.28369401226	433.721476305196	96.83	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	3317.33722110321	500.972373867486	1.72181143507562	0.999999999995502	2.72722272224493	370.787189402885	434.951925305977	642.173703257709	1595.56629807071	6495.23159858331	2083.74734149272	374.436987876371	444.291955825434	653.203871451971	1604.4995107237	6626.48371695495	2035.40005603723	100	UP_pEhEx_DOWN_EhMyb10
EHI_181610A	63.43712345098	259.526910338557	-1.30003514049344	0.981319350616678	-2.03248488055241	182.362625925036	321.948879889972	247.928395171419	68.2051965842228	63.3671499056233	61.3930820511376	184.15769019032	328.862316039868	252.186887671192	68.5870619607119	64.6476389126821	59.9686344687393	98.13	DOWN_pEhEx_UP_EhMyb10
EHI_188960A	5808.98333460701	1487.92874104291	3.33209149458563	0.999999999999967	1.96498025546896	1578.13476265287	1239.36224468613	1513.02128283094	4943.38472245298	7235.92942091924	5524.31884152807	1593.66893970187	1265.9759472968	1539.00939032656	4971.06160871251	7382.14915927167	5396.14311951988	100	UP_pEhEx_DOWN_EhMyb10
