CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	130.665833732215	75.2849676493259	177.805302993299	301.57443911307	740.831665424535	269.070274538921
EHI_000140A	115.120587553469	150.763703354646	880.787405118173	350.410809905855	338.114536212978	49.340709787866
EHI_000240A	1144.17140250359	986.569987507553	1085.84686786449	1483.60859590597	2436.62176317516	1825.10471523877
EHI_000250A	555.773734332926	579.156279348949	278.288102372089	355.643900434887	357.422850847752	698.601693458625
EHI_000260A	9.39587383818346	67.8220917664631	9.29021862073329	66.1269716033524	41.2244266326251	129.25735741456
EHI_000280A	85.8901535802239	63.0031833270302	146.574073360699	78.3945181423501	117.95428923817	48.1510599470179
EHI_000290A	26.9062911263958	41.3127424060187	13.5018268692286	28.1459578422469	21.9805612613456	62.2042245123537
EHI_000300A	43.3054325952839	60.6689995156205	89.6326296003235	109.544111398973	94.7026024891148	53.6274029496404
EHI_000410A	26.6969846616585	36.5153524884442	36.2128192100296	48.8490192860331	43.1027157694775	40.18873179429
EHI_000430A	8.82299432366587	20.2906202265459	7.58534171147293	19.7258218336632	11.4902825830837	24.4305375705333
EHI_000440A	411.72468857005	401.44649423571	550.45671995656	481.334853285191	329.311976347991	286.048401892986
EHI_000480A	12.4870669250687	21.2229012164603	9.60466821912397	18.5478967821701	16.6283187143586	27.1929507161489
EHI_000510A	8880.50079459322	9710.45731852179	6838.58135396747	7982.23324216773	10361.0825160272	11467.121003502
EHI_000520A	29.0684358105104	18.8183314683469	36.183604367001	21.6341900826286	25.007210431485	14.6896837777651
EHI_000540A	54.4481771010216	51.0670376256061	35.5704427371079	52.6158579906707	22.327588055491	51.0385555356243
EHI_000550A	305.750666608473	324.513954732698	505.867026245239	278.517408466408	255.91026568074	157.149476844383
EHI_000560A	73.5012240786215	61.1045184926124	178.294886332223	41.7671569953944	43.0165334746	15.3220409985252
EHI_000570A	131.319616971641	114.354960464146	94.0581664525362	74.9897461508791	72.7735641057704	96.3240683206404
EHI_000580A	175.132988206402	184.60869771861	125.929400714116	151.831850282319	128.896600513572	191.735700016271
EHI_000590A	11038.9411442362	10377.4040665154	6826.47326065287	7756.79025338122	8636.86489984381	11688.750506834
EHI_000610A	2007.41540753177	1711.05706826443	1169.76806577824	1716.26801924819	3170.84233261296	3594.23814180194
EHI_000620A	5.99440010610702	5.46663590970397	11.744892050528	41.5941530139228	71.5660876882038	25.6619604357564
EHI_000650A	24.4010786141821	44.2566041668847	9.62903034836223	45.5226608516247	37.4007735106532	130.741341434725
EHI_000660A	22.1575168615827	26.4839343862545	13.9498488219927	24.3748170625952	11.6094295976969	27.4011023416382
EHI_000670A	36.3291218394758	21.271599878885	12.8626489519512	18.2641931311634	25.1371692915454	48.7438626500447
EHI_000690A	1.80957698975877	1.81121641012431	97.4559308305405	120.043638181339	305.044963097748	2.48255649260749
EHI_000700A	46.5965216585865	53.5203783804092	35.0300325531471	43.2981057187686	45.0856727913276	57.0932393194016
EHI_000710A	17.0318095282532	24.7270432489478	16.7895143703853	23.9637389856583	21.6445585583964	24.9845341511133
EHI_000720A	119.765336073657	123.217755740148	66.9313165197466	145.930489576647	113.846041947592	219.112140239019
EHI_000730A	384.25525835515	503.010550241398	145.057814318165	681.434937482357	982.692731937016	2362.84893401066
EHI_000740A	154.314900995704	118.082270744377	230.25093811878	84.7692311036742	85.5266812352369	47.0082240849377
EHI_000780A	7.53500298498308	23.373077677471	20.8346822362688	12.1557198137601	19.0166938525205	8.4594717994533
EHI_000790A	151.366912210874	119.385882230481	97.7548252070382	92.8920498060941	83.1858801587572	123.77621464611
EHI_000800A	341.754768146891	334.671598585615	185.705759981153	266.381645319783	258.789810796465	456.495254528885
EHI_000900A	33.0792076596768	19.4075350720709	29.4616798709673	37.1789543892312	73.6401939995226	45.8434172146073
EHI_001050A	683.626432562988	627.629698886985	503.311671977558	665.715523000408	672.741093442582	844.066985852846
EHI_001060A	2.42752555145241	8.05181646030699	9.28729337774018	27.5584555600224	31.4139273688134	11.8918212825832
EHI_001070A	619.785732213295	613.535116850802	1301.84435354406	630.955510901133	728.827007153315	303.048491384261
EHI_001100A	81.9711009756468	44.7973598937641	34.0946680319275	42.8113065108346	50.9689522884744	87.9395302275555
EHI_001120A	106.156391226327	77.0412816453237	250.814126960167	104.160077784796	140.613019706064	43.3796426418155
EHI_001130A	2103.68564687542	1398.30063674167	14799.9809790586	610.845489889862	1141.43466442091	84.9084863427664
EHI_001140A	14.7758539031261	18.3546150060148	41.5336240529276	30.6784255949539	25.8682198214973	10.3299703018695
EHI_001150A	53.9548633587526	63.0098556518069	39.8368876073593	56.8138997813177	37.3578191984648	60.2538884863947
EHI_001180A	46.2726777469913	32.9055954465034	14.1758460531795	23.1229447618137	14.7435042865013	55.0163952939592
EHI_001400A	843.775348170393	1235.92107160434	225.07510178467	1054.29249429196	1333.0697268861	4753.967011906
