EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	127.140923968814	108.689763121591	248.6690837915	262.806415086931	649.537631687752	202.137462525941
EHI_000140A	144.403645113571	20.1651437837643	134.750569261854	196.424421263701	190.896173619128	68.9875843124091
EHI_000240A	1752.8713176073	980.945842964426	4965.44742705238	2020.66161921086	3342.3225920705	727.058544215599
EHI_000250A	657.164196579253	952.653351254994	1072.64515794767	432.168997245916	437.403300581053	327.367214413371
EHI_000260A	115.602655172396	106.91253191453	363.774071089489	128.724503266829	80.5049438528078	31.6193493424956
EHI_000280A	42.1139234457948	54.8983976456538	58.7024572372608	53.2401043895046	80.3984306964226	51.9841662798366
EHI_000290A	24.8187139426209	42.8793427113322	24.9698117532119	29.9817019134636	23.6097516976151	35.918420410198
EHI_000300A	56.6523296527652	36.813310993959	29.468873156165	60.6128315539647	52.8420305756334	77.119557279982
EHI_000410A	37.163338460928	24.0689818356437	61.198180821033	50.2269192306864	44.6459898879979	24.4415372435338
EHI_000430A	20.8146054567101	21.2753627065961	29.9906966555807	23.6612675188138	13.8446785342367	12.2426495377502
EHI_000440A	201.670728950004	287.283763245269	213.655147568051	333.198068443747	229.729009684944	297.153307408037
EHI_000480A	20.2913497749518	15.3708682121826	19.7374428002207	19.8890262141935	17.946300711514	15.8356100441018
EHI_000510A	6953.35353932456	5075.54152570178	2220.41112315215	4994.57915126805	6529.18655306103	13713.5636383735
EHI_000520A	9.45268299030776	13.1557412398568	3.62765189323579	9.39101652889871	10.8186700401267	31.8539613357584
EHI_000540A	31.0234267552553	54.3198033599053	28.7133509069647	43.8034122193826	18.9557580575005	41.5598316111345
EHI_000550A	155.963278393461	122.485609496	98.7118159577904	165.773174187045	153.438731594154	202.475718456362
EHI_000560A	28.920155925506	20.1655030875253	14.6850002084911	19.55635487331	20.261275740513	28.3632044690295
EHI_000570A	43.9502184657957	77.561958005863	28.9945379694776	51.7512617861495	50.5811234874945	101.736265030617
EHI_000580A	155.685875305568	163.036668173369	87.4965809206641	112.878229231227	96.561984210113	180.780467388868
EHI_000590A	6214.64282200513	6549.15843215818	1960.98733929565	4756.1367734156	5333.50895293337	14385.1894116231
EHI_000610A	2808.15151317776	2053.26080921734	4292.29132105566	2104.34193716542	3915.48395384558	1660.50448263911
EHI_000620A	19.6028106230922	6.59651914708638	25.2210873417674	34.8948715080831	60.0563075559487	20.9127070848913
EHI_000640A	37.0292092853025	53.872968686612	52.8902439739844	15.4458227217152	7.32114125802778	11.0145592843499
EHI_000650A	47.3740160182023	55.5543887799467	54.2340661437482	62.9382227295033	52.0108386876525	51.4139159761717
EHI_000660A	20.0436933849077	18.0949189654909	10.6887899344358	19.8748786009063	9.7046633774737	23.3836614890485
