pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1.1	CmasM_2.1	CmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	DE	Regulation
EHI_000130A	418.725359072825	104.077290214736	1.11144720324432	0.979350819231589	2.00834898875729	63.5689935787724	147.751646856557	99.5770911411209	253.79744162804	606.882786830178	393.522089520818	64.2814405310696	148.598046749718	96.0080473919544	255.807634450665	610.594980730218	404.622460486736	97.94	UP_pEhEx_DOWN_CmasM
EHI_006680A	42.3358038385969	2.03942292261159	1.85198014954596	0.965299731572298	4.37564539361561	1.69524393944808	1.69524393944808	2.67205937859888	49.2660035354011	56.6915514129099	21.4721246897481	1.71424331807696	1.70495519695185	2.57628738211552	49.656213011395	57.0383235341593	22.0778049192186	96.53	UP_pEhEx_DOWN_CmasM
EHI_006770A	8.08449621356159	106.594430124531	-1.11071433823291	0.96928797672449	-3.72083036997195	150.477466593371	150.502279518667	20.3038482384201	2.97951150103355	2.97951150103355	17.891855857715	152.163936779988	151.364436496373	19.5761173737309	3.00311060666631	2.99773664213041	18.3965447750035	96.93	DOWN_pEhEx_UP_CmasM
EHI_009940A	310.429940430412	62.3212763044848	1.15458665140227	0.970162582302829	2.31647102528199	80.6835224673428	64.2730864914252	41.7505483441963	124.53922011422	382.954840698734	417.91781596418	81.587779817449	64.6412768615282	40.2541244992684	125.525628191477	385.297307241669	429.706335373898	97.02	UP_pEhEx_DOWN_CmasM
EHI_010020A	1686.02112968269	309.251444152865	1.77172542710517	0.974096591345261	2.44677037917004	277.501776809594	377.141682531167	269.841992470576	781.543587679736	2490.86323198264	1771.36563358432	280.611866871033	379.302150360745	260.170311309245	787.733773445378	2506.09939866303	1821.33186463633	97.41	UP_pEhEx_DOWN_CmasM
EHI_012420A	208.007062780042	60.6667630138243	0.947521365495932	0.974563624084852	1.77765427431349	74.3504096408934	63.9519102878001	43.3576234310916	161.656512487117	171.835847389212	286.264497419573	75.1836888823692	64.3182607900559	41.8035987742943	162.936906643369	172.886936657732	294.339373520172	97.46	UP_pEhEx_DOWN_CmasM
EHI_017750A	1458.38706680006	402.631624777458	1.77116414285386	0.97372969558774	1.85684127392734	311.066626033948	539.241365702146	353.427947520825	1124.40917001206	1604.50091528687	1629.81613213262	314.552892800224	542.330426596075	340.760377174827	1133.31500936471	1614.31536156808	1675.78957086623	97.37	UP_pEhEx_DOWN_CmasM
EHI_019860A	73.2494718869176	12.6235598847083	1.10273021819466	0.979618142507791	2.5366995456848	17.4298070729628	11.9272970904059	8.45768443975181	55.6589669715991	56.4618385910104	105.944453309162	17.6251509384099	11.9956229818446	8.15454397404631	56.0998116672876	56.8072055998481	108.932907489575	97.96	UP_pEhEx_DOWN_CmasM
EHI_035670A	421.408720096619	104.83653363548	1.29412353328485	0.977997433559674	2.0070786101429	131.653790511761	92.1795103351049	89.5107282059696	300.38135811242	478.0025071704	480.77522198834	133.129295101781	92.7075635200212	86.3024832037722	302.760517044261	480.926363357836	494.336807112547	97.8	UP_pEhEx_DOWN_CmasM
EHI_044610A	56.8227489829545	11.5103453418369	1.05904917142799	0.975057456840016	2.30353750930529	12.004792118661	12.979791462214	9.44216217822949	29.6609899006193	72.7560932858788	67.2943154015641	12.1393353460491	13.0541466003163	9.10373604512356	29.8959186242018	73.2011293481098	69.1925363267591	97.51	UP_pEhEx_DOWN_CmasM
EHI_050000A	74.886255297764	17.1898474219179	1.0325731296913	0.969477233574491	2.12314420978475	21.1562046195384	15.2897724807281	14.9243759002584	46.9849143071993	95.7682764459209	81.1658479825801	21.3933119364049	15.3773604167644	14.3894561721702	47.357056504166	96.3540739332691	83.4553535690823	96.95	UP_pEhEx_DOWN_CmasM
EHI_062500A	217.862652183445	56.2615916077666	1.1741809652979	0.967829108639927	1.95319662759401	43.0841905223664	67.4537966701919	57.3575869530402	187.515961383873	251.405971328331	213.262164891309	43.5670548639548	67.8402078372388	55.3017753719215	189.001174305183	252.943776870771	219.27780977206	96.78	UP_pEhEx_DOWN_CmasM
EHI_075040A	9.4952548803651	316.476318391297	-1.81581216896459	0.984794708416388	-5.05874701098785	316.747439587749	531.382717232047	104.499490315137	4.53982001753198	5.42340567130496	18.1504019076149	320.297373844654	534.426759614392	100.754017853286	4.57577748643596	5.45657967769855	18.6623838260896	98.48	DOWN_pEhEx_UP_CmasM
EHI_089770A	44.1962440002399	2.00528208074489	2.74151010139195	1	4.4620466696418	1.96663999513239	1.96663999513239	2.049152876872	44.1312243764756	46.5710576683669	41.6510745026538	1.98868103419747	1.97790595336148	1.97570710553568	44.4807640326919	46.855924532194	42.8259574137289	100	UP_pEhEx_DOWN_CmasM
EHI_099860A	209.344939759054	33.7683819368003	1.18245220938967	0.968226957395211	2.63213708879008	15.0391954219335	46.8431820194546	38.7593762809315	151.383833980267	320.280747560504	156.776144235782	15.2077466029441	47.1115246410097	37.3701620746137	152.582863783627	322.239847840155	161.198445819265	96.82	UP_pEhEx_DOWN_CmasM
