UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	88.9215333078905	770.375641779837	469.006025213301	301.742287239421	727.447883803608	281.347026032454
EHI_000140A	58.7822889551988	199.439809118478	133.399363821864	181.243812233084	171.63988071311	129.894454340202
EHI_000240A	1236.06192564002	2119.49988720459	3714.56374119291	2038.0708053444	3285.20607827515	1219.37504150529
EHI_000250A	1109.02484627952	368.863005767536	891.854713466456	535.790913464818	528.41963854706	409.463484552402
EHI_000260A	117.866934884567	104.844530146372	155.927050216396	113.115825624492	68.8992564860821	63.22761194323
EHI_000280A	54.3022457236856	61.3486634558026	44.3151679084783	54.0734537304544	79.6749242032192	85.0713721126534
EHI_000290A	49.1693818093614	40.5813880973097	35.2894256972309	36.7914167219194	28.0872406025665	44.2757312167511
EHI_000300A	45.8205181629034	71.0680095637139	42.5667396521643	78.3719665836132	66.5197989605229	89.8125363773458
EHI_000410A	38.6958839558068	49.857970773033	68.0177262611484	54.6675769389046	47.289299853279	35.8292503476076
EHI_000430A	26.1885274564405	32.5633860426385	23.9338354707917	22.993255777111	13.0478047194727	20.4698455360975
EHI_000440A	274.278381429837	427.04170920483	192.948828729182	341.935077972263	229.66365877539	485.463376242952
EHI_000480A	15.2531973857482	14.788084017734	11.1585484900218	20.3000561981852	17.828578220686	24.8909958386252
EHI_000510A	10228.6233047778	6891.91924436735	8369.63063435329	8996.37861718257	11460.2987840865	10136.0480095474
EHI_000520A	18.0376716391616	17.3540538505585	8.80803006600363	13.819756221727	15.6060981234423	28.9983535937412
EHI_000540A	59.1549266351347	40.800494586998	33.4102896702167	52.7972471211474	21.9505783704334	53.0647469028614
EHI_000550A	236.960983175349	186.037175783143	219.253389489612	235.660993130832	212.499879182071	208.14826571496
EHI_000560A	40.6243217382535	30.9065134894843	39.5259810515176	29.9425218997578	30.2428818333738	25.2303082504234
EHI_000570A	101.366513675603	85.3512617724166	62.995515678052	71.4320424151443	68.0066559108255	107.925302180649
EHI_000580A	184.624244272062	168.576729964361	159.27345563132	167.853479998222	139.80406480052	174.047113806372
EHI_000590A	11084.8975926233	5975.33408014245	5544.61680218462	7968.6437143556	8707.72266678243	11778.5789579903
EHI_000610A	2076.61906202814	1877.2053584	3982.20896731212	2706.77417981531	4908.27363807644	1975.2325049744
EHI_000620A	13.8577062537509	92.018362700624	65.1558942261334	38.5853036717577	65.0819060732887	29.7298441527761
EHI_000640A	84.8900530132188	7.64386805312565	31.4130103512321	18.7780658189883	7.61257038000041	12.1991053504635
EHI_000650A	73.3232975395036	63.6367463082669	60.8015623632051	71.7696362518836	57.7306605238868	71.4610285409316
EHI_000660A	31.8542083588466	21.2729798863805	24.5362422480612	29.6616559197064	13.7160746776104	21.6603695706109
EHI_000670A	54.8174607564764	36.9107005273429	39.8943252462969	23.6013704683574	31.9585001545659	35.0639535032841
EHI_000690A	1.22074346419465	44.9899806253064	11.874037939168	31.0257268702328	76.2201724570557	11.3934475158865
EHI_000700A	52.0955335466461	37.5491680701506	33.3734806642296	44.549419579155	45.5065932396913	57.2711617385845
EHI_000710A	20.0042036931473	33.7684966065598	15.4737813508697	21.1267291461485	18.7234506099249	31.1558332443566
EHI_000720A	218.197471318645	162.091766005676	199.016636520986	188.764635173489	144.42814412069	159.262461335314
EHI_000730A	572.909417105375	1424.17800878776	1672.90406410215	1341.32571635721	1898.72283773892	948.834913105327
EHI_000740A	98.0707619730832	50.3382097969921	71.399910839279	69.3964880773296	68.6962471770065	65.0709403781465
EHI_000770A	28.4959610627074	17.2477189743604	14.547781489119	14.8852692007369	12.1642275281711	22.5240541914287
EHI_000780A	14.9305505150163	12.0199820819382	15.8228390531089	10.8152675914182	16.520401581203	10.2267481064683
