U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	113.237663630724	130.916613602794	284.951187932073	276.111435088711	666.832591436265	197.563868521613
EHI_000140A	74.4423040749765	126.937429884105	205.72344019189	184.919824211259	175.598669007053	78.7591579008974
EHI_000240A	1338.028787146	1662.07492202597	4837.49500745504	1921.02475422675	3104.17019899014	818.4015441521
EHI_000250A	684.839583533596	642.107054529359	920.510499737766	440.552299753824	435.640304425712	333.893020773736
EHI_000260A	132.866379753749	137.545709924616	341.617729608922	117.533612908833	71.8777392125213	37.6131756919657
EHI_000280A	54.0438617958555	46.5483865582782	86.5029753621387	61.5089130083992	90.8732962063596	44.4637890013861
EHI_000290A	29.0870379750078	36.347835442587	24.1226391518353	29.885425083785	23.0382377086747	37.7923074416167
EHI_000300A	32.9390620050756	40.4322691182167	13.5343898840004	48.8415772604741	41.6512506113415	110.040149431507
EHI_000410A	32.1840016402342	32.364802108407	60.0144314615644	48.8118962235745	42.4431343647092	26.6540351068117
EHI_000430A	20.3322871403554	25.5831491695101	33.0228599377589	24.0439756971025	13.7680996191432	12.5888120280642
EHI_000440A	256.801751156656	197.709251386913	156.315325861398	305.539914964362	205.852629374736	352.046245767578
EHI_000480A	18.0238920144955	14.9991062648713	13.9666368158715	18.0351313826768	15.94190482534	19.0871089058577
EHI_000510A	6103.35835709905	6324.13435355863	2522.4615188924	5210.82100005834	6654.58256511843	13535.5497611577
EHI_000520A	15.2949613580416	11.521295941226	13.4604907757933	15.4980380912319	17.5814941473346	15.975418630643
EHI_000540A	58.6737370926375	26.5243310192283	35.3958047293142	48.8243307612347	20.6095239882579	37.3797757818489
EHI_000550A	179.480147950247	188.368830038281	108.025484056231	155.154059475426	140.329847251351	233.10734531889
EHI_000560A	19.0458196717598	41.1579857432351	54.1536445071039	31.0717908704209	31.4965436921596	15.5777530893791
EHI_000570A	78.015895003071	60.8021671209129	45.0457758275428	58.3075581012617	55.7134436453914	89.9326053513328
EHI_000580A	146.398417967432	148.454584535972	114.251367830965	130.470526811124	109.047253367524	154.304412302168
EHI_000590A	6103.2942889891	5854.20552888563	2006.36729150567	4972.19937647763	5447.05125635853	14157.5060156959
EHI_000610A	2166.91690870011	2439.77542257168	5231.85321470448	2335.82063686361	4245.97834482469	1501.46283610459
EHI_000620A	10.1992218966636	24.3690363163769	47.6196760562202	39.3515228348571	66.3451615694645	18.5679088180613
EHI_000650A	55.0643802512467	42.9572757398143	29.341812035745	50.9633227140118	41.2103311417587	72.6844109986493
EHI_000660A	21.4763528805335	16.6741307086249	13.0838181669191	21.8655466837135	10.4046609129462	21.4258239860683
EHI_000670A	43.3102831951434	13.3718306949602	22.3861874132838	20.3035929097769	27.4186286165114	28.1747329492129
