pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_044770A	7606.7601106647	3458.62637838703	1.84114351765504	1	1.13708293491548	5202.26725858495	1899.47584547839	3037.6477505138	6263.47598188883	9205.16346129328	7703.12647085643	5253.47514181745	1940.26463461931	3089.82329964189	6298.54375874071	9391.17641339733	7524.39786639933	100	UP_pEhEx_DOWN_EhMyb10
EHI_049690A	2402.733341103	831.094062653169	2.51839503722841	1	1.53159287034477	1049.93285654481	648.517995726853	730.296266109886	2352.8129918731	2375.05580259188	2577.77400794526	1060.26774255651	662.444081623001	742.840053882524	2365.98585646327	2423.04964247421	2517.9642731851	100	UP_pEhEx_DOWN_EhMyb10
EHI_099790A	73275.5437773179	114793.690236331	-2.42347064690474	1	-0.647639670547844	95740.0545204231	120339.678912056	117010.95655708	73801.9364907648	77305.4417965472	71869.1520544909	96682.4600695544	122923.818005014	119020.771852924	74215.1367405268	78867.5882486715	70201.6377927412	100	DOWN_pEhEx_UP_EhMyb10
EHI_111760A	8552.9691748044	3839.30640847753	2.0002193979378	1	1.15557963668056	4982.60145931842	1956.76432763714	4259.10727692736	8750.4224808174	10352.7656007614	6967.83046344989	5031.64708904877	1998.78331290007	4332.26298134751	8799.41410524517	10561.9686746597	6806.16226034591	100	UP_pEhEx_DOWN_EhMyb10
EHI_141940A	13569.7383366206	5751.85551740567	2.26320979402793	1	1.23829355988397	8545.91217978099	3163.42142949957	5146.06398014626	11599.5076718929	16274.5043537295	13461.6618451663	8630.03282396651	3231.35181669499	5234.45431900862	11664.450676034	16603.3707135282	13149.3232065158	100	UP_pEhEx_DOWN_EhMyb10
EHI_156660A	11900.7519026415	6452.01101643174	2.24715086478457	1	0.883231920552252	4984.26203032761	6202.71703548366	7491.9133249734	13168.4994917935	12785.1291314381	10279.3029784361	5033.32400568614	6335.91236821892	7620.5966759921	13242.226924131	13043.4840887151	10040.80170456	100	UP_pEhEx_DOWN_EhMyb10
EHI_193330A	15880.6703459622	27432.8979898148	-2.77101343847201	1	-0.788635223407404	24410.4924091365	25716.9568543798	29486.5424516454	15877.4084076185	17508.4081797123	14962.1608470965	24650.774113786	26269.1952695069	29993.0121514463	15966.3024045995	17862.2085989928	14615.0075012464	100	DOWN_pEhEx_UP_EhMyb10
EHI_146390A	25058.4167087919	38302.0032127999	-2.39024826098317	0.999999999999999	-0.612124585469204	34391.0239902285	41980.0254503445	34982.9661009885	23374.6314855883	25794.8162855974	27043.8255645369	34729.5478401578	42881.4922472508	35583.8440224459	23505.5007286893	26316.0639469172	26416.3523923623	100	DOWN_pEhEx_UP_EhMyb10
EHI_160980A	10851.5428547831	4521.74550830236	2.62448202426462	0.999999999999999	1.26294847519451	5514.68418956129	4235.12851470774	3471.66770265654	8882.94624630492	11244.1256966419	12867.2541209481	5568.96731074794	4326.07242662023	3531.29810869876	8932.67984114162	11471.3408920544	12568.7069815583	100	UP_pEhEx_DOWN_EhMyb10
EHI_015310A	7990.92530365079	2786.87832137537	2.18774068417561	0.999999999999998	1.51971255476668	4613.08015297282	1085.85771570219	2486.18987628583	7022.02529264029	9991.0466709533	7343.70401835828	4658.48844479515	1109.17510692263	2528.89341951593	7061.34001448526	10192.9403248453	7173.31476462956	100	UP_pEhEx_DOWN_EhMyb10
EHI_131940A	7451.81154751767	3378.02153029758	1.81902717516548	0.999999999999998	1.14141266633582	5229.52290588088	1541.6330459439	3132.69577060306	6719.79833542408	8892.46938403137	7089.18481031481	5280.99907675312	1574.73762339528	3186.50389304083	6757.42095730332	9072.16358376763	6924.70093319301	100	UP_pEhEx_DOWN_EhMyb10
EHI_182850A	13774.4462954582	5131.73433312374	2.1250692772526	0.999999999999997	1.42447593657745	8575.36465774174	3096.46478264405	3437.3315027373	11594.523641227	12997.4174569975	17251.3187681955	8659.77521380171	3162.9573623745	3496.37213990804	11659.4387409145	13260.0622216528	16851.0521829136	100	UP_pEhEx_DOWN_EhMyb10
EHI_104660A	24769.7192019771	33224.7340348078	-2.69674519382354	0.999999999999993	-0.423680136930193	31659.1658441555	31531.3168021342	33382.2573878222	23800.175645563	26962.117269972	24627.2565123998	31970.7989816324	32208.4110834008	33955.6410561723	23933.4274135888	27506.953116663	24055.8527837033	100	DOWN_pEhEx_UP_EhMyb10
EHI_148230A	49150.6657019343	81539.4059081655	-2.61422447574551	0.999999999999992	-0.730286488748441	68669.5530267493	89079.0980063225	78998.1857798479	49804.0988637584	49038.9359445833	50633.4944845321	69345.4933962523	90991.9565215238	80355.0823201032	50082.9406810358	50029.8881728028	49458.6917804295	100	DOWN_pEhEx_UP_EhMyb10
EHI_140370A	18020.086630361	24201.8500867783	-2.49071509313815	0.999999999999985	-0.425511390299904	22361.7902244715	24621.3986199735	23364.6555153838	17423.3047184739	18832.8228538451	18565.8284328894	22581.9057790491	25150.1113377768	23765.9738484583	17520.8538371512	19213.386326751	18135.0624810445	100	DOWN_pEhEx_UP_EhMyb10
EHI_140540A	8428.66632909318	3285.78271152857	3.0931681410939	0.999999999999969	1.35906729290183	4532.5458104984	2228.33053924016	2856.9078506289	8229.28279637844	8270.6289696921	9125.69644104722	4577.16137234346	2276.18105795968	2905.97895701038	8275.35667829144	8437.75735550281	8913.96124550315	100	UP_pEhEx_DOWN_EhMyb10
EHI_188960A	5808.98333460701	1487.92874104291	3.33209149458563	0.999999999999967	1.96498025546896	1578.13476265287	1239.36224468613	1513.02128283094	4943.38472245298	7235.92942091924	5524.31884152807	1593.66893970187	1265.9759472968	1539.00939032656	4971.06160871251	7382.14915927167	5396.14311951988	100	UP_pEhEx_DOWN_EhMyb10
