edgeR	limma	NOISeq	DESeq2
0.315165876777251	0.943262411347518	0.369444444444444	0.517509727626459
0.00947867298578199	0.0283687943262411	0.0111111111111111	0
0.00710900473933649	0.0212765957446809	0	0.0116731517509728
0.0023696682464455	0.00709219858156028	0	0
0.251184834123223	0	0.294444444444444	0.412451361867704
0.201421800947867	0	0.236111111111111	0
0.023696682464455	0	0	0.0389105058365759
0.18957345971564	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0.00833333333333333	0.0116731517509728
0	0	0.0805555555555556	0
0	0	0	0.00778210116731518
