edgeR	limma	NOISeq	DESeq2
EHI_129750A	1	0	1	1
EHI_130260A	1	0	1	1
EHI_131940A	1	0	1	1
EHI_134720A	1	0	1	1
EHI_134840A	1	0	1	1
EHI_135080A	1	0	1	1
EHI_138470A	1	0	1	1
EHI_140600A	1	0	1	1
EHI_141800A	1	0	1	1
EHI_141940A	1	0	1	1
EHI_146780A	1	0	1	1
EHI_148470A	1	0	1	1
EHI_152670A	1	0	1	1
EHI_153260A	1	0	1	1
EHI_153690A	1	0	1	1
EHI_154240A	1	0	1	1
EHI_156380A	1	1	1	0
EHI_156690A	1	0	1	1
EHI_157010A	1	0	1	1
EHI_158150A	1	0	1	1
EHI_160740A	1	0	1	1
EHI_160910A	1	0	1	1
EHI_160980A	1	0	1	1
EHI_161170A	1	0	1	1
EHI_161940A	1	0	1	1
EHI_162230A	1	0	1	1
EHI_163670A	1	0	1	1
EHI_165810.mRNA	1	0	1	1
EHI_167310A	1	0	1	1
EHI_167620A	1	1	0	1
EHI_169280A	1	0	1	1
EHI_169300A	1	0	1	1
EHI_169580A	1	0	1	1
EHI_170050A	1	0	1	1
EHI_170300A	1	0	1	1
EHI_170580A	1	0	1	1
EHI_174220A	1	0	1	1
EHI_174670A	1	0	1	1
EHI_174910A	1	0	1	1
EHI_176820A	1	0	1	1
EHI_188170A	1	0	1	1
EHI_190440A	1	0	1	1
EHI_193350A	1	0	1	1
EHI_194075A	1	0	1	1
EHI_197840A	1	0	1	1
EHI_198930A	1	0	1	1
EHI_201200A	1	0	1	1
EHI_202460A	1	0	1	1
EHI_000620A	1	0	1	0
EHI_001060A	1	0	1	0
EHI_004230A	1	0	1	0
EHI_004860A	1	0	0	1
EHI_004880A	1	0	1	0
EHI_006940A	1	0	1	0
EHI_006960A	1	0	1	0
EHI_007260A	1	0	1	0
EHI_008470A	1	0	1	0
EHI_009940A	1	0	1	0
EHI_020990A	1	0	1	0
EHI_026360A	1	0	1	0
EHI_027520A	1	0	1	0
EHI_029210A	1	0	1	0
EHI_032670A	1	0	1	0
EHI_038540A	1	0	1	0
EHI_039020A	1	0	1	0
EHI_044610A	1	0	1	0
EHI_047920A	1	0	1	0
EHI_048860A	1	0	1	0
EHI_049660A	1	0	1	0
EHI_050130A	1	0	1	0
EHI_050500A	1	0	1	0
EHI_050960A	1	0	0	1
EHI_051690A	1	0	1	0
EHI_062490A	1	0	1	0
EHI_063340A	1	0	1	0
EHI_067580A	1	0	1	0
EHI_068330A	1	0	1	0
EHI_068560A	1	0	1	0
EHI_069950A	1	0	1	0
EHI_070720A	1	0	1	0
EHI_072640A	1	0	1	0
EHI_073540A	1	0	0	1
EHI_074380A	1	0	1	0
EHI_077520A	1	0	1	0
EHI_086530A	1	0	1	0
EHI_087380A	1	0	1	0
EHI_087650A	1	0	1	0
EHI_092320A	1	0	1	0
EHI_093840A	1	0	1	0
EHI_095070A	1	0	1	0
EHI_096200A	1	0	1	0
EHI_096340A	1	0	0	1
EHI_097170A	1	0	1	0
EHI_099200A	1	0	1	0
EHI_100350A	1	0	1	0
EHI_103400A	1	0	1	0
EHI_105120A	1	0	1	0
EHI_109930A	1	0	1	0
EHI_115270A	1	0	0	1
EHI_115400A	1	0	0	1
EHI_117270A	1	0	1	0
EHI_125600A	1	0	1	0
EHI_126860A	1	0	1	0
EHI_127360A	1	0	1	0
EHI_131150A	1	0	1	0
EHI_136980A	1	0	1	0
EHI_137750A	1	0	1	0
EHI_140770A	1	0	1	0
EHI_145610A	1	0	0	1
EHI_148260A	1	1	0	0
EHI_148400A	1	0	1	0
EHI_150460A	1	0	1	0
EHI_150530A	1	0	1	0
EHI_153280A	1	0	1	0
EHI_153650A	1	0	1	0
EHI_155310A	1	0	1	0
EHI_155700A	1	0	1	0
EHI_156310A	1	0	1	0
EHI_157360A	1	0	1	0
EHI_158130A	1	0	1	0
EHI_161860A	1	0	1	0
EHI_161870A	1	0	1	0
EHI_165770A	1	0	1	0
EHI_166490A	1	0	1	0
EHI_169310A	1	0	0	1
