edgeR_CmasM_1	edgeR_CmasM_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_048860A	0.777237232182322	1.07497272699505	3.71563102808673	3.61910900472807	6.00464658302008	8.41960548427112	28.2758836640142	27.9634232571726	5.93577972478799	8.17437948845091	26.9007013996815	28.1260746357272
EHI_049000A	32.799411198094	482.528382829905	642.804167859004	851.938259712987	253.396085803447	3779.3504117522	4891.72787387445	6582.58983473843	250.489904386053	3669.2745928784	4653.8213421449	6620.87796925019
EHI_050000A	2.1762642501105	1.4780874996182	5.14471988504317	10.567798293806	16.8130104324562	11.5769575408728	39.1512235347889	81.653195910944	16.6201832294064	11.23977179662	37.2471250149436	82.1281379363235
EHI_057550A	120.316323541823	74.1731181626587	32.487953348143	22.5832401895032	929.519291051509	580.952778414707	247.232726395611	174.491761124757	918.858701397181	564.032184703113	235.208696853626	175.506705726938
EHI_058090A	137.104647756962	187.851484042386	305.729742798213	491.185474121694	1059.21965724474	1471.32605837638	2326.59770968773	3795.19580446346	1047.0715434526	1428.4728156068	2213.44489209174	3817.2708495609
EHI_062500A	3.26439637516575	5.10612045322651	14.9577967028107	19.8327173459098	25.2195156486843	39.9931260502878	113.828557314108	153.239559449306	24.9302748441096	38.8283025701418	108.292567173077	154.130889003785
EHI_068380A	0.155447446436464	0	1.04799849510139	2.60575848340421	1.20092931660402	0	7.9752492385681	20.1336647451643	1.1871559449576	0	7.58737731785889	20.2507737377236
EHI_073540A	6.5287927503315	5.37486363497527	1.90545180927525	1.01335052132386	50.4390312973687	42.0980274213556	14.5004531610329	7.82975851200832	49.8605496882191	40.8718974422545	13.7952314870162	7.87530089800362
EHI_075040A	18.1873512330663	29.9648647649871	0.0952725904637623	0.144764360189123	140.50873004267	234.696502874057	0.725022658051645	1.1185369302869	138.897245560039	227.860828240569	0.689761574350808	1.12504298542909
EHI_075530A	1.08813212505525	3.09054659011078	8.76507832266613	11.2916200947516	8.40650521622811	24.2063657672795	66.7020845407514	87.2458805623785	8.31009161470319	23.5013410292964	63.4580648402744	87.7533528634689
EHI_083100A	1.55447446436464	2.9561749992364	6.66908133246336	16.6479014217491	12.0092931660402	23.1539150817456	50.7515860636152	128.631746982994	11.871559449576	22.47954359324	48.2833102045566	129.379943324345
EHI_087210A	98.2427861478455	103.466124973274	56.2108283736198	27.6499927961224	758.987328093738	810.387027861095	427.763368250471	213.640553684799	750.282557213202	786.7840257634	406.959328866977	214.883210216956
EHI_087570A	106.170605916105	391.021329444451	498.180375535013	907.238245305232	820.234723240543	3062.63149490362	3791.14347895205	7009.87094210802	810.82751040604	2973.43053892402	3606.76327228038	7050.6443896841
EHI_089770A	0	0	4.85890211365188	5.0667526066193	0	0	36.9761555606339	39.1487925600416	0	0	35.1778402918912	39.3765044900181
EHI_099860A	0.932684678618786	3.22491818098516	11.1468930842602	23.4518263506379	7.2055758996241	25.2588164528134	84.8276509920425	181.202982706478	7.12293566974559	24.5231384653527	80.7021041990446	182.256963639512
EHI_103310A	36.9964922518785	226.953616986831	308.68319310259	461.943073363491	285.821177351756	1777.58920786674	2349.07341208733	3569.25134454551	282.543114899908	1725.8158694992	2234.82750089662	3590.01216650422
EHI_104360A	44.4579696808288	62.2140465748388	95.8442260065449	178.20492739281	343.465784548749	487.284667402191	729.372793999955	1376.91896118318	339.526600257873	473.092212894096	693.900143796913	1384.92791506321
EHI_107170A	68.7077713249172	83.8478727056142	33.8217696146356	6.51439620851052	530.810757938975	656.729227773147	257.383043608334	50.3341618629107	524.722927671259	637.601600099171	244.865358894537	50.626934344309
EHI_114920A	6.21789785745857	95.8069442934342	187.020095080365	371.610112605478	48.0371726641607	750.397338785664	1423.21947775538	2871.28430004648	47.4862377983039	728.541571908187	1354.00197045064	2887.98534359647
EHI_116040A	0	0	2.66763253298535	3.47434464453895	0	0	20.3006344254461	26.8448863268857	0	0	19.3133240818226	27.0010316502981
EHI_117270A	77.7237232182322	20.1557386311573	11.3374382651877	0.723821800945614	600.464658302008	157.867602830084	86.2776963081458	5.59268465143452	593.577972478799	153.269615408455	82.0816273477462	5.62521492714544
EHI_118750A	180.629932759172	1660.56412002561	1870.39149598458	3532.68468169516	1395.47986589387	13006.1855718278	14233.6448228699	27295.6567097913	1379.47520804073	12627.3727147845	13541.3992276551	27454.423973426
EHI_123020A	4.352528500221	2.9561749992364	0	0	33.6260208649125	23.1539150817456	0	0	33.2403664588128	22.47954359324	0	0
EHI_135060A	29.2241199300553	95.2694579299367	173.110296872656	316.165362653044	225.774711521555	746.187536043528	1317.36616967984	2442.8846557466	223.185317652028	724.454382163962	1253.29678059542	2457.09388017713
EHI_140640A	0	0	3.04872289484039	7.38298236964526	0	0	23.2007250576527	57.0453834446321	0	0	22.0723703792259	57.3771922568835
EHI_141800A	66.6869545212432	103.734868155023	180.065195976511	246.967998482643	515.198676823123	812.491929232163	1370.29282371761	1908.22400306946	509.28990038681	788.827620635513	1303.64937552303	1919.32333314202
EHI_142900A	0.621789785745857	0.537486363497527	3.04872289484039	2.75052284359333	4.80371726641607	4.20980274213556	23.2007250576527	21.2522016754512	4.74862377983039	4.08718974422545	22.0723703792259	21.3758167231527
EHI_147570A	125.601536720663	185.970281770144	292.582125314214	444.281821420418	970.350887816045	1456.5917487789	2226.5445828766	3432.78983905051	959.22200352574	1414.16765150201	2118.25779483133	3452.75692228187
EHI_147990A	1.86536935723757	3.89677613535707	0	0.434293080567368	14.4111517992482	30.5210698804828	0	3.35561079086071	14.2458713394912	29.6321256456345	0	3.37512895628727
EHI_150530A	1.39902701792818	1.34371590874382	4.76362952318812	4.48769516586281	10.8083638494361	10.5245068553389	36.2511329025823	34.674644838894	10.6844035046184	10.2179743605636	34.4880787175404	34.8763325483017
EHI_155900A	0	0	7.81235241802851	22.1489471089358	0	0	59.4518579602349	171.136150333896	0	0	56.5604490967663	172.131576770651
EHI_158270A	866.308618990416	693.088665730061	386.235081740093	401.865863885005	6692.77908143418	5428.5406359838	2939.24185574137	3105.05851847644	6616.0200812487	5270.43117517872	2796.29342241818	3123.11932755115
EHI_158570A	33.4212009838398	308.785915829329	412.053953755772	1757.72886141633	258.199803069863	2418.53167535688	3135.72299607337	13581.2754075436	255.238528165884	2348.09050805752	2983.21880906725	13660.27192908
EHI_163670A	173.479350223094	191.748260177743	347.078047059486	641.016586917436	1340.23711733008	1501.84712825686	2641.25754328214	4952.88152731041	1324.86603457268	1458.10494125243	2512.80141535999	4981.69033948
EHI_167310A	144.099782846602	417.223789664955	505.135274638868	1096.73479279279	1113.26147649192	3267.85937858273	3844.07013298982	8474.03578385358	1100.49356097569	3172.68103895501	3657.11586720799	8523.32565761077
EHI_169350A	27.2033031263813	36.952187490455	118.900192898775	555.026556965097	210.162630405703	289.42393852182	904.828277248454	4288.47059071999	207.75229036758	280.9942949155	860.822444789809	4313.41480613513
EHI_170060A	11.036768696989	45.8207124881642	79.9337033990966	97.4264144072796	85.2659814788852	358.885683767056	608.294010105331	752.775354083086	84.2880720919895	348.43292569522	578.709960880328	757.153929193777
EHI_172280A	0.932684678618786	4.29989090798022	12.8617997126079	32.8615097629309	7.2055758996241	33.6784219370845	97.8780588369721	253.907883175127	7.12293566974559	32.6975179538036	93.1178125373591	255.384757692403
EHI_174150A	0	0	1.42908885695644	2.75052284359333	0	0	10.8753398707747	21.2522016754512	0	0	10.3464236152621	21.3758167231527
EHI_178340A	44.6134171272653	73.0981454356637	178.731379710018	704.133847959893	344.666713865353	572.533172930436	1360.14250650489	5440.5636289155	340.713756202831	555.857805214662	1293.99271348212	5472.20908112709
EHI_179390A	5.75155551814918	10.3466124973274	28.5817771391287	47.6274745022214	44.4343847143486	81.0387027861095	217.506797415494	367.998650064391	43.9247699634311	78.67840257634	206.928472305242	370.13914220617
EHI_180000A	2.02081680367404	1.61245909049258	5.14471988504317	7.67251109002351	15.6120811158522	12.6294082264067	39.1512235347889	59.2824573052059	15.4330272844488	12.2615692326764	37.2471250149436	59.6272782277417
EHI_183560A	0.310894892872929	0.403114772623145	1.42908885695644	1.73717232226947	2.40185863320803	3.15735205660167	10.8753398707747	13.4224431634428	2.3743118899152	3.06539230816909	10.3464236152621	13.5005158251491
EHI_187780A	2.48715914298343	3.76240454448269	9.43198645591247	17.0821945023165	19.2148690656643	29.4686191949489	71.7772431471129	131.987357773855	18.9944951193216	28.6103282095782	68.28639586073	132.755072280632
EHI_188880A	0.932684678618786	1.61245909049258	6.47853615153584	15.9240796208035	7.2055758996241	12.6294082264067	49.3015407475119	123.039062331559	7.12293566974559	12.2615692326764	46.903787055855	123.7547283972
EHI_188960A	173.634797669531	402.577286259648	713.877520344971	1010.31046975989	1341.43804664669	3153.14225385953	5432.59477678098	7806.2692364723	1326.05319051764	3061.30511842486	5168.38347661061	7851.67499530961
EHI_194430A	1.24357957149171	3.62803295360831	8.76507832266613	16.9374301421274	9.60743453283213	28.416168509415	66.7020845407514	130.868820843568	9.49724755966079	27.5885307735218	63.4580648402744	131.630029295203
EHI_198930A	48.4996032881769	84.6541022508605	117.375831451355	197.024294217396	374.689946780453	663.043931886351	893.227914719627	1522.32876212048	370.392654826771	643.732384715509	849.786259600196	1531.18350316899
