edgeR_CmasM_1	edgeR_CmasM_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_006680A	0	0	7.62180723710099	8.68586161134736	0	0	58.0018126441316	67.1122158172142	0	0	55.1809259480647	67.5025791257453
EHI_006770A	8.23871466113261	8.06229545246291	0	0	63.6492537800129	63.1470411320334	0	0	62.9192650827527	61.3078461633818	0	0
EHI_010020A	20.3636154831768	27.1430613566251	58.116280182895	182.982151279051	157.321740475126	212.595038477846	442.263821411504	1413.83067988265	155.517428789445	206.403082083385	420.754560353993	1422.05433358237
EHI_015310A	248.249571959034	1000.93398042327	1214.34443805111	1670.43595222229	1917.88411861661	7839.70515654195	9241.13879952627	12906.7976385806	1895.88804409728	7611.36910118385	8791.7010266754	12981.8710088663
EHI_017750A	24.7161439833978	42.0583079436815	90.5089609405742	127.392636966428	190.947761340039	329.417064572108	688.771525149063	984.312498652475	188.757795248258	319.822597485642	655.273495633268	990.037827177598
EHI_019860A	1.08813212505525	0.671857954371909	3.90617620901426	3.90863772510631	8.40650521622811	5.26225342766945	29.7259289801175	30.2004971177464	8.31009161470319	5.10898718028182	28.2802245483831	30.3761606065854
EHI_023400A	682.103394963205	324.238648779883	164.154673369063	63.4067897628358	5269.67784125842	2539.56350419328	1249.21403982299	489.919175465664	5209.24028647394	2465.59721320401	1188.45919260644	492.768827617941
EHI_032670A	0	0.671857954371909	2.38181476159406	6.80392492888877	0	5.26225342766945	18.1255664512911	52.5712357234845	0	5.10898718028182	17.2440393587702	52.8770203151672
EHI_035670A	11.6585584827348	7.92792386158852	27.0574156917085	42.5607218956021	90.0696987453012	62.0945904464995	205.906434886667	328.84985750435	89.0366958718199	60.2860487273254	195.89228711563	330.762637716152
EHI_036630A	0	0	7.24071687524594	11.0020913743733	0	0	55.1017220119251	85.0088067018047	0	0	52.4218796506614	85.5032668926107
