edgeR_UmasM_1	edgeR_UmasM_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_UmasM_1	NOISeq_UmasM_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_UmasM_1	DESeq2_UmasM_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_013100A	1.90079532236749	2.11541560394519	0	0	15.0525781982133	16.455201734248	0	0	14.8997388896414	15.7065000115839	0	0
EHI_018630A	1.26719688157833	1.51101114567514	0	0	10.0350521321422	11.7537155244629	0	0	9.93315925976095	11.2189285797028	0	0
EHI_022240A	3.80159064473498	4.0293630551337	0.512411652256339	0	30.1051563964265	31.3432413985677	4.05783640905498	0	29.7994777792828	29.9171428792074	3.93483156430606	0
EHI_055340A	1.26719688157833	1.30954299291845	0	0	10.0350521321422	10.1865534545345	0	0	9.93315925976095	9.72307143574242	0	0
EHI_088600A	34.847914243404	14.1027706929679	0	0	275.96393363391	109.701344894987	0	0	273.161879643426	104.710000077226	0	0
EHI_112990A	104.385343120015	86.7320397617528	199.328132727716	208.817104792306	826.637419385211	674.66327110417	1578.49836312239	1692.80110005897	818.243994022808	643.96650047494	1530.64947851506	1680.49155282655
EHI_126240A	124.660493225268	272.687144756173	440.366573949098	454.039304835195	987.198253499486	2121.15386164807	3487.30460994185	3680.72450510936	977.174542178983	2024.64264435036	3381.59424636463	3653.95936882513
EHI_131470A	173.922771996625	408.98035009607	597.676951191794	636.537574532924	1377.31090513651	3181.33900195462	4733.06038752173	5160.1687872741	1363.32610840219	3036.59000223956	4589.58753660658	5122.64557121995
EHI_156560A	4.75198830591873	0.906606687405082	0	0	37.6314454955331	7.05222931467773	0	0	37.2493472241035	6.73135714782168	0	0
EHI_159450A	3.4847914243404	2.11541560394519	0.307446991353803	0	27.596393363391	16.455201734248	2.43470184543299	0	27.3161879643426	15.7065000115839	2.36089893858363	0
EHI_166800A	9.66237622203475	8.86459872129413	1.94716427857409	1.73357596431348	76.517272507584	68.9551310768489	15.4197783544089	14.0534430948292	75.7403393556772	65.8177143342564	14.952359944363	13.9512506272393
EHI_195110A	48.9454795509629	5.33890604805215	0	0	387.603888603991	41.5297948531022	0	0	383.668276408266	39.6402143149499	0	0
