edgeR_EhMyb10_1	edgeR_EhMyb10_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_EhMyb10_1	NOISeq_EhMyb10_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_EhMyb10_1	DESeq2_EhMyb10_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_000130A	10.2638793702953	8.85269061471458	22.1877535402919	52.7206609841653	84.8169200583264	71.4129879701467	177.145821533798	435.664131152723	82.7825328588612	71.2096876843345	168.616586394098	432.98982849101
EHI_000690A	2.23699934993616	0	17.2989264890411	42.6922743839164	18.4857389870711	0	138.113691365334	352.793236639977	18.0423469051364	0	131.463779222517	350.627632854133
EHI_001060A	0.394764591165205	0.390559880060937	2.06834990629839	2.29220265148545	3.26218923301256	3.15057299868294	16.5135935328116	18.9419187457706	3.18394357149466	3.14160386842652	15.7184953418227	18.8256447170004
EHI_001940A	66.4520395128095	33.4579630585536	123.724930758577	179.221594813018	549.135187557114	269.899086887172	987.813140417278	1481.02127193494	535.963834534935	269.130731395205	940.251812265394	1471.93009631047
EHI_004430A	0	0	7.42725648170787	8.73902260878827	0	0	59.2988131405509	72.2160652182503	0	0	56.4436878183633	71.7727704835641
EHI_004860A	34.607695825483	26.4278852174568	66.6572765257073	61.7462089243892	285.985256094101	213.188772910879	532.188082489248	510.247936214195	279.125719767699	212.581861763528	506.564236243286	507.115804564199
EHI_005020A	100.796558944182	64.0518203299937	147.60497058584	230.509629140005	832.945650829206	516.693971784002	1178.47008393247	1904.84670387155	812.966925254971	515.223034421949	1121.72898575735	1893.15389685336
EHI_005030A	0.263176394110137	0.130186626686979	1.41023857247618	3.43830397722817	2.17479282200837	1.05019099956098	11.2592683178261	28.4128781186559	2.12262904766311	1.04720128947551	10.7171559148791	28.2384670755006
EHI_005070A	7.36893903508383	5.85839820091406	16.3587674407237	22.0624505205474	60.8941990162344	47.2585949802441	130.607512486783	182.315967928042	59.433613334567	47.1240580263978	124.319008612598	181.196830401129
EHI_006770A	5.13193968514766	1.82261277361771	0	0	42.4084600291632	14.7026739938537	0	0	41.3912664294306	14.6608180526571	0	0
EHI_006960A	0.78952918233041	0.130186626686979	2.35039762079363	3.15177864579249	6.52437846602511	1.05019099956098	18.7654471963769	26.0451382754345	6.36788714298932	1.04720128947551	17.8619265247985	25.8852614858756
EHI_010020A	32.3706964755468	19.1374341229859	57.3497019473645	181.08400946735	267.49951710703	154.378076935464	457.876911591596	1496.41158091588	261.083372862562	153.9385895529	435.831007205084	1487.22593264303
