edgeR	limma	NOISeq	DESeq2
EHI_000130A	-2.38460411964346	-2.32163866610744	2.35394855318752	-2.39542174703577
EHI_000140A	-1.42462252570998	-1.42508205896348	1.40173841439775	-1.40909253320689
EHI_000620A	-4.14603793779067	-3.64830990907347	4.25610571796526	-4.28972827181695
EHI_000690A	-10.8134803548161	-8.38100078707084	11.8154458028758	-9.97789656987514
EHI_001060A	-3.09717640988645	-3.37256254455927	3.29110806257904	-3.23243405773476
EHI_001130A	0.981351372865971	1.00836329424112	-1.00854188711511	0.978597783128347
EHI_001940A	-1.7509008381068	-1.75433637560251	1.72238135469126	-1.74871981773032
EHI_004230A	-1.12302884523685	-1.14785261292593	1.10134787268128	-1.11368917361546
EHI_004530A	1.15222223948896	1.14871579431805	-1.18282380122806	1.17289377591854
EHI_004860A	-1.01866193720017	-1.03400594590218	0.988605213516766	-1.00463332108509
EHI_004880A	-1.12988574094638	-1.09429127328348	1.10473417859576	-1.1280895703306
EHI_005010A	-1.46843860653296	-1.44277082238257	1.45470357461658	-1.46640417757753
EHI_005020A	-1.46880710531254	-1.4255045621824	1.44271514975308	-1.46609340789602
EHI_005070A	-1.56102339139589	-1.53297080602055	1.54486272534288	-1.55809937157228
EHI_005100A	-1.12961776241307	-1.11657598013538	1.10235575123279	-1.1219191155799
EHI_006170A	-1.64603360474605	-1.5470446611794	1.6254710346571	-1.65017188103735
EHI_006810A	-1.13313507038353	-1.12106223460088	1.1070236616013	-1.12642835398223
EHI_006840A	-1.21363334717117	-1.18452088251172	1.18638796319125	-1.21486963237179
EHI_006940A	-1.24313203371459	-1.21490331874081	1.22241340787791	-1.23914957754052
EHI_006960A	-2.23668221623956	-2.08942625890429	2.26561179756419	-2.27762749905701
EHI_006970A	-1.95068436136154	-1.82638441031498	1.93893540341728	-1.97830490735899
EHI_007260A	-2.38871734055559	-2.12291147995753	2.46302655949049	-2.46180119142644
EHI_007510A	1.29754215827861	1.32247373113078	-1.32473652890801	1.32099802921701
EHI_007620A	1.31088910045638	1.33154002271837	-1.33835216494691	1.33382902101741
EHI_007930A	-1.39507198572515	-1.36490918483795	1.3732626655992	-1.39164285814712
EHI_007940A	-1.50465036430805	-1.51951222903351	1.48185461269386	-1.49199300417251
EHI_008470A	-1.24886119692877	-1.27370583760162	1.23144494792962	-1.24306248046939
EHI_009490A	-2.90968786096315	-4.36616797878173	2.91774572584001	-2.91813785552285
EHI_009500A	1.06116009115629	1.26081759379789	-1.08925996576537	1.09930946951449
EHI_009810A	-1.15657000850309	-1.22318492011258	1.12714605745969	-1.1489629615901
EHI_009940A	-1.80845229442035	-1.53641159190847	1.79729782971186	-1.82417671847512
EHI_009950A	-1.21485937431601	-1.15754319561584	1.20151791731513	-1.21660576333136
EHI_010020A	-2.72778028862409	-2.48852132940877	2.70341559592048	-2.73999839271671
EHI_010030A	-2.30412108082119	-2.47710811274263	2.2718967116982	-2.30924798804125
EHI_011400A	2.43356549720124	2.12980373344301	-2.55688795482378	2.50697102744621
EHI_012570A	-1.32617920862796	-1.2944363055531	1.30397444397431	-1.32312167813094
EHI_013220A	-1.54085888645508	-1.49769682144948	1.5150642602958	-1.537858562059
EHI_013340A	-1.57857282202043	-1.55600482197568	1.55991890034052	-1.57320766738456
EHI_014010A	1.08226388478098	1.0722295328838	-1.1118617534994	1.09761077890173
EHI_014110A	-1.14836502854719	-1.15856353937407	1.12218735298474	-1.13903839758784
EHI_014250A	1.58748599961759	1.69655934432276	-1.60807124695642	1.58386313826984
EHI_015310A	-1.64672036507982	-1.6281778953291	1.62023610702072	-1.64011199545894
EHI_015320A	1.09326797430721	1.08969347716043	-1.12042362112367	1.10348163013258
EHI_015440A	-1.58569892428141	-1.55226702190113	1.5612435922257	-1.58341020098077
EHI_016370A	1.09491154649403	1.09014849350165	-1.12272514631246	1.11257647645653
EHI_017030A	-2.2309884599245	-2.15573095741961	2.21743383480008	-2.2358058874357
EHI_017570A	2.21497831566821	2.179366527153	-2.41407971161634	2.37023082167457
EHI_017650A	-1.82411831725042	-1.72990619562688	1.78260198591821	-1.81945825237962
EHI_017660A	-2.87193007541186	-2.73655749436559	2.85603738905325	-2.88008638237028
EHI_017750A	-2.03860025077748	-2.05506832171115	2.00896332477001	-2.03600878375167
EHI_020080A	-1.4139456304493	-1.42265388171112	1.3855359591719	-1.40630046007455
EHI_020990A	-7.48666498220106	-4.99523568102286	8.50322109843675	-6.66078057201728
EHI_022010A	-1.89995269399659	-1.89687854272653	1.87313201229302	-1.88258797751193
EHI_022500A	-1.15230169656464	-1.08531499921347	1.13651770756707	-1.15035174130445
EHI_023000A	-2.33693072721473	-2.28753342502921	2.31810635235356	-2.33783106002022
EHI_023400A	2.20631086612168	2.35355373901622	-2.23454339027685	2.2421199503622
EHI_024240A	-1.87100993193928	-1.91974944638318	1.85352061368938	-1.86770473148502
EHI_024510A	-1.20918836180014	-1.19239015942148	1.18965147168878	-1.20414790725678
EHI_025230A	-1.3310829761293	-1.29952747967955	1.30610958722853	-1.32658571557963
EHI_025360A	-1.23311721247011	-1.23100759399443	1.20632151728053	-1.22121282571169
EHI_025400A	-1.18831434950732	-1.14613439135742	1.16853161912348	-1.18724953820607
EHI_025830A	-1.06316263128164	-1.05225725155026	1.03684797062765	-1.05437765573487
EHI_025840A	7.23905684096696	5.47154475769037	-8.7470136352216	6.88637502434947
EHI_026360A	-1.92987195775134	-1.78116544368565	1.94154898375471	-1.94917003064816
EHI_027520A	-1.30236644978464	-1.27949019331913	1.2883075817774	-1.29899460489204
EHI_027610A	-2.04121607211158	-2.03888551859151	2.01407885508709	-2.02983561970481
EHI_028930A	1.30540036791251	1.28505252321065	-1.3532521285889	1.33772175144823
EHI_028990A	-2.78996244705272	-2.69117769262967	2.7641713140341	-2.79683200024519
EHI_029210A	-1.65911241331125	-1.66237827898184	1.62431144771079	-1.65804753621501
EHI_030070A	-1.59848566918671	-1.59397022164819	1.57206079386587	-1.58987253929044
EHI_030150A	2.10799428972645	2.18563149991972	-2.0732697907654	2.08754916134114
EHI_030170A	-1.4544043030011	-1.41326243545193	1.42903683955883	-1.45468955190631
EHI_030390A	-1.9533579959068	-1.87871516175867	1.94685050182071	-1.9595840811201
EHI_031240A	-1.6841144506814	-1.6083552856194	1.66501408189896	-1.68678296026462
EHI_032670A	-2.31401390976904	-1.99954341957861	2.32749200642812	-2.35307509561439
EHI_032780A	-2.82565225819391	-2.61612655155988	2.81901276989564	-2.84798904269216
EHI_035060A	-10.1426533676705	-7.84962517759725	11.1363064577573	-9.27716407268559
EHI_035160A	1.45373781739943	1.42066647106337	-1.48516474657899	1.47963128773502
EHI_035220A	-3.3920921360157	-3.43913881441228	3.43249202212558	-3.40077073212545
EHI_035400A	-1.14265597659015	-1.13278514524156	1.10721332307719	-1.12284105360888
EHI_035510A	-1.53266026625661	-1.5224421324118	1.50519337652066	-1.52206602190161
EHI_035600A	-1.20338560633258	-1.19703614473705	1.17641510052747	-1.19480774000609
EHI_035650A	-1.65946077976952	-1.64325750394088	1.63656147119878	-1.65152714147617
EHI_035670A	-2.58897011361411	-2.60231653301219	2.55397589251925	-2.58970437611974
EHI_036560A	-1.76198133466159	-1.74781822890173	1.74014120343534	-1.74629068527616
EHI_037120A	-1.21613119300741	-1.13113316008228	1.20737857988529	-1.21986692043783
EHI_037810A	-1.99152109381146	-1.93402846296147	1.98806364313563	-1.99813321732116
EHI_037820A	1.7109243796405	1.79721436928497	-1.82970699672379	1.79830840212051
EHI_038300A	-2.66875033471912	-2.63304410035097	2.63872248374978	-2.65552816556664
EHI_038540A	-1.55481037120466	-1.50246295635587	1.5732407520792	-1.57415771611281
EHI_039020A	-4.7912724102084	-4.55391071862078	4.78427453428018	-4.82110472400078
EHI_040310A	-1.16238990120588	-1.16707847942287	1.13463575390551	-1.1518167125828
EHI_040340A	1.01079042444883	1.07166208014875	-1.03634685524295	1.00998873069704
EHI_040400A	-1.30037578628467	-1.26900069672147	1.27658080181474	-1.29717887491326
EHI_041580A	1.75366446442564	1.82036957983026	-1.75999010685868	1.75156076440515
EHI_041880A	-7.13656143192666	-4.87743249530286	8.12327750784712	-6.26801727335282
EHI_044220A	2.05587894008076	1.91180918014498	-2.19224792719111	2.15044234129696
EHI_044550A	1.11000718769379	1.10089162987816	-1.13721883259904	1.12184376738511
EHI_044610A	-2.40531995553311	-2.31068162828691	2.37454803294671	-2.43872846968556
EHI_044770A	-1.10924326693466	-1.08310673212816	1.08254986552758	-1.10396605286392
EHI_044820A	-2.09846576996475	-2.08468823085307	2.08953739631191	-2.09898990069102
EHI_044830A	1.05136433198785	1.05364365399956	-1.07839174232799	1.06157311750597
EHI_045280A	-1.88652606964282	-1.86627699923291	1.85687029234935	-1.88197579228468
EHI_046600A	-1.87830583087499	-1.8096406267108	1.85827177065745	-1.8815999788262
EHI_047920A	-3.22640871823585	-3.50462972723344	3.41037296851214	-3.34736656521397
EHI_048140A	-2.5709358439259	-2.41503905753443	2.54395347158681	-2.5803471560864
EHI_048300A	-6.71766850966476	-6.11660357694695	6.72804840447997	-6.98462916396747
EHI_048440A	-1.13192604582633	-1.11418183934029	1.12005397326386	-1.12920656966057
EHI_048580A	1.12604801667959	1.11978538024381	-1.15255723347363	1.13662131754753
EHI_048860A	-3.80344963781893	-4.10338738310636	3.66820065931779	-3.81959973080262
EHI_048990A	1.04966921936798	1.0401580005845	-1.07693077993213	1.05909656963192
EHI_049000A	-2.48800546615161	-2.47418145059201	2.46192676357869	-2.48064195802321
EHI_049660A	-1.41134780459263	-1.37213103962461	1.38661213299189	-1.4109532796675
EHI_049670A	1.04696818714057	1.21282911791632	-1.07297028364238	1.04027123258199
EHI_049690A	-1.30740810572686	-1.30712384310153	1.28057524909127	-1.29330289569728
EHI_050000A	-3.21227514971954	-3.08153597167163	3.18612990027466	-3.23746537088033
EHI_050130A	-1.08283447863542	-1.02190444670011	1.05713756523869	-1.08206752563005
EHI_050500A	-1.20360683654513	-1.18262666863123	1.18155057078137	-1.19798237534722
EHI_050520A	-1.63236073895413	-1.60687784182926	1.60818916229255	-1.62744810369523
EHI_050640A	2.82150678379715	3.0098235380225	-2.76374914401487	2.79570126889201
EHI_050740A	-1.12495104998534	-1.12115755445799	1.09757170881926	-1.10944060368321
EHI_050960A	-1.01944456374067	-1.02421226183754	0.992097351594263	-1.0112139624058
EHI_051690A	-3.1979471014982	-4.11640813474355	3.26627302067856	-3.26922302484796
EHI_052110A	-1.99152109381146	-1.93402846296147	1.98806364313563	-1.99813321732116
EHI_052720A	-2.55856092446029	-2.47648665029987	2.53979334509397	-2.57423153429012
EHI_054940A	1.33454721627562	1.3264472799683	-1.36339437121422	1.35157462740599
EHI_056380A	-1.40433968210819	-1.37283653642248	1.38120185082942	-1.40090951272395
EHI_056460A	-1.54458667155242	-1.5461413044629	1.5258626168343	-1.53580822546158
EHI_056680A	-1.28514232597049	-1.2347463444769	1.25319990375404	-1.25870732281034
EHI_056690A	-1.5604908163304	-1.54142347267678	1.53681859787269	-1.55484798808015
EHI_057550A	2.05693535262917	2.05005561402358	-2.08930920974506	2.07776505488516
EHI_057850A	-1.30182222105577	-1.30044152168963	1.27603987007074	-1.28927676943009
EHI_058090A	-1.50387208866417	-1.46643267715448	1.47671430221333	-1.50302719704386
EHI_058110A	1.67544949583194	1.54501528101203	-1.74247268535708	1.7149929121551
EHI_058320A	-2.45286837066154	-2.32396008325571	2.43573783587087	-2.46613903238246
EHI_058800A	3.24927914725117	3.30597583220419	-3.66611545232197	3.57699200035053
EHI_062490A	-1.41945908756681	-1.39607718439811	1.38984009036919	-1.40503854086989
EHI_062500A	-1.5739796778353	-1.58960738838378	1.54032072443421	-1.56846007447997
EHI_063140A	-2.67253427310707	-2.82995192458381	2.87928248733346	-2.83620908285746
EHI_063340A	-1.54081105816283	-1.52409245757368	1.5090090222185	-1.52944314298922
EHI_065340A	-2.06316812672831	-2.11925185728762	2.0455991797885	-2.05064371073266
EHI_065830A	-1.21771189970652	-1.14835480665026	1.19453828206117	-1.22022365203159
EHI_066730A	1.46370310565273	1.39638339672231	-1.48749083988024	1.48604007372241
EHI_066770A	-1.84340628742575	-1.84553982061164	1.81920840564483	-1.8324471318654
EHI_067520A	-1.22293379720854	-1.19019837064454	1.19675450014406	-1.21849276735616
EHI_067580A	-1.2385110671142	-1.22573444543421	1.21160547828562	-1.22599010633854
EHI_068140A	1.64990976983012	1.65167175262737	-1.66631184112382	1.65799075305622
EHI_068170A	-1.25584670159332	-1.19378051901643	1.22974885202962	-1.2580045312512
EHI_068330A	-1.51173522709969	-1.4728664593875	1.53130826079201	-1.52935793540504
EHI_068560A	-1.36783183439361	-1.35309431513076	1.34765472207113	-1.35621028696899
EHI_068610A	1.53724754969369	1.53760751619629	-1.56275483490338	1.55159701470631
EHI_069280A	-1.61438995371191	-1.60372863775031	1.58493096811761	-1.60142441984252
EHI_069510A	1.98635522543888	1.83472649713631	-2.09023284563014	2.06045791952185
EHI_069950A	-1.9757526866742	-1.97474680787495	1.94051935163411	-1.97648460932392
EHI_070720A	-1.22320038544387	-1.16680960667916	1.20070770215301	-1.22330120277731
EHI_072640A	-2.28991171746634	-2.15784553513879	2.36747745362085	-2.34196111669889
EHI_073180A	-2.04436937465674	-2.03904186420272	2.01784278363532	-2.03503472553384
EHI_073540A	2.47123220500326	2.36509801931535	-2.53766970127843	2.52311081712385
EHI_074380A	-3.38050455612875	-4.34698150095871	3.29288124775911	-3.3608743118283
EHI_075530A	-2.81040757776978	-3.89113731944542	2.7438130881434	-2.81722698242869
EHI_076020A	-1.33864338584442	-1.32147271755674	1.31292207520749	-1.33252670697819
EHI_077520A	2.23993601777329	2.16612615984247	-2.37031607168807	2.34340019512123
EHI_077770A	-2.13968411128279	-2.07153471777102	2.12466139552574	-2.1438138676443
EHI_079890A	-1.69705257117492	-1.85113849418954	1.65198811614991	-1.69498550596237
EHI_079930A	1.61971653945288	1.61247650342879	-1.68351949882428	1.66584802459366
EHI_080100A	2.57694475977202	2.95017041293929	-2.50897977742267	2.53685657112408
EHI_080710A	1.23608247254285	1.22919598630219	-1.27385838381407	1.26167469120841
EHI_081130A	-2.08474934857586	-2.24351326811002	2.08531338176759	-2.08394121896595
EHI_082270A	-1.79874964977886	-2.37475666804258	1.78420977111468	-1.79553928740791
EHI_083100A	-4.51626694923206	-4.18710013675951	4.52897221517392	-4.56979365293588
EHI_083140A	-9.27910644033381	-6.28730428454286	10.2829305360381	-8.4642173236673
EHI_083270A	-2.78953544948007	-2.80077954556599	2.7642841878634	-2.7757523511837
EHI_083400A	1.14410217449872	1.1491331012092	-1.17260856737474	1.16285582703087
EHI_083410A	-2.78953544948007	-2.80077954556599	2.7642841878634	-2.7757523511837
EHI_085470A	-1.58135793738663	-1.58007769076883	1.60541661837891	-1.59158530555323
EHI_086030A	2.10399304686574	2.05272286384964	-2.11742548068061	2.11361524209368
EHI_086040A	-1.22844976668525	-1.2139826722553	1.20078239902592	-1.22416474487966
EHI_086080A	-1.97440950939486	-1.85055657093303	1.94967694119816	-1.98195674728549
EHI_086200A	-1.75414672373172	-1.76886614922364	1.75042645551522	-1.7550305547223
EHI_086530A	-1.18332203502197	-1.1598585665084	1.16438934336151	-1.17842567259127
EHI_086540A	-1.18986969733384	-1.17524852239145	1.17220185589661	-1.17678308187488
EHI_087380A	-1.54081105816283	-1.52409245757368	1.5090090222185	-1.52944314298922
EHI_087410A	-1.75858179831125	-1.75264906466517	1.74424003625281	-1.7510286302125
EHI_087570A	-1.84642347231929	-1.77768518951291	1.82014256894835	-1.84644899697843
EHI_087610A	1.58624212919607	1.58843865001133	-1.66249352927642	1.63903578947792
EHI_087650A	2.71984881756906	2.45133353970872	-2.87230284389607	2.82707127663402
EHI_087730A	1.99192178795153	1.9169457135308	-2.06553108853342	2.05441931752007
EHI_089770A	-8.20627021556994	-5.93297581595893	9.20248498386707	-7.34809588831378
EHI_090020A	-2.67477272268105	-2.59464071572986	2.64832450800407	-2.6757803696364
EHI_091470A	-1.35089702407081	-1.28685269692839	1.36287130823908	-1.36758906391182
EHI_091550A	-2.92536282594259	-2.95936911487233	2.79244266876428	-2.93262070819922
EHI_092170A	-2.08689035221332	-2.07224709397953	2.06780409095104	-2.07368449496685
EHI_092320A	-2.92465395066774	-3.64803997011593	3.02709911565794	-2.98664787978968
EHI_092430A	-1.36927773362055	-1.35553212808132	1.34290797960757	-1.36227621470192
EHI_092470A	-1.40147464133376	-1.38386933884372	1.37472701344845	-1.39453934157549
EHI_092930A	-2.19031968546061	-2.23406119241135	2.17182344481458	-2.17915202423881
EHI_093840A	-1.46000838545505	-1.40370398577404	1.47270651057832	-1.47649356747805
EHI_094020A	-11.2938903355921	-8.92310008351927	12.2891698341381	-10.4212470340608
EHI_095070A	-1.36827577270953	-1.34102571802315	1.35282240096948	-1.36426175199505
EHI_095200A	1.84730729329426	1.71422789687724	-1.93527871460538	1.90931236842979
EHI_095830A	-2.45097737708711	-2.46075286763378	2.43960275369284	-2.44453377561619
EHI_096200A	-2.58046984060115	-2.27828429440315	2.60692939523012	-2.63778437853498
EHI_096340A	-1.00781123261908	-0.982570726737091	0.981328302275609	-1.00239911737765
EHI_096360A	-1.46204871565394	-1.40395343716496	1.43754210637044	-1.46317412414016
EHI_096730A	1.07436517285648	1.0712171267091	-1.10640691390686	1.09381967042073
EHI_096790A	-1.29540359696745	-1.2201901888289	1.26975735374625	-1.29839204132946
EHI_097170A	-1.1122778545166	-1.09859824395327	1.08756752742393	-1.1051924792053
EHI_097930A	-2.21462368436022	-2.14426996460968	2.19254681817184	-2.21975301389806
EHI_098180A	3.28601946325505	3.71320758956194	-3.40679306295449	3.43769199084208
EHI_098250A	-1.35504041571346	-1.31002860302457	1.33152444737725	-1.34378797654991
EHI_098440A	1.48451232871795	1.48630719738811	-1.51088955079196	1.49592238329026
EHI_098470A	-15.0861663227157	-11.391529378491	16.0850401534058	-14.2751737634098
EHI_098560A	-1.08691931270685	-1.08039884530482	1.06230974994929	-1.07702309697822
EHI_098800A	-1.35980467158348	-1.35348866267721	1.33282855211981	-1.35268801059317
EHI_099200A	-1.64462078325671	-1.60710817352991	1.66663284857128	-1.65849457519914
EHI_099340A	-1.05205532788636	-1.03085516110523	1.02555053234392	-1.04592057784683
EHI_099720A	-1.65645646288657	-1.53913017516626	1.63747960885573	-1.66399697721286
EHI_099860A	-4.12061139951923	-3.91886045377157	4.12893228359709	-4.14859238737723
EHI_100350A	-1.91392359833881	-1.78575049255974	1.89937962328915	-1.93075721795472
EHI_100810A	1.64387082108104	1.87280410566594	-1.68788685654607	1.68577560708794
EHI_101290A	1.90797037790915	1.80005213601333	-2.022693253551	1.99655108086129
EHI_103310A	-2.47570117176587	-2.54259452971562	2.45188318887925	-2.46813961115961
EHI_103370A	-2.60856833727149	-3.05742761022661	2.63833817876914	-2.60275807685219
EHI_103400A	2.08348960176114	1.98577868342137	-2.17456062717115	2.15263594022169
EHI_103510A	-2.48422369241384	-2.38899110856687	2.45908502525971	-2.48695604703056
EHI_103900A	2.53897811648714	2.5316152981162	-2.57326497657722	2.56033752881088
EHI_104360A	-1.54889477118691	-1.47733152679135	1.52237276173752	-1.55111506587877
EHI_105120A	-1.57408991089074	-1.53549084095484	1.55690592571695	-1.57332666674184
EHI_105140A	-1.97477819160531	-1.93671926343416	1.94821144481881	-1.97124545589515
EHI_105280A	-2.2405360305602	-2.20688455012673	2.21990328986514	-2.23757572297035
EHI_105350A	1.67476544690899	1.74683509194008	-1.73677133055399	1.71640900832306
EHI_106270A	1.40010578658736	1.37673146515437	-1.45403583410292	1.43590425909775
EHI_107170A	1.82863753489438	2.16861017185848	-1.86065573322947	1.87688039650773
EHI_108690A	1.09491154649403	1.09014849350165	-1.12272514631246	1.11257647645653
EHI_109000A	1.33301648292519	1.35074536063897	-1.33523912578195	1.33134386669658
EHI_109010A	2.42386855530389	3.1591000223217	-2.67238178649063	2.62137562970644
EHI_109880A	-2.67391628378514	-2.51805120942574	2.69126322995772	-2.7087181768985
EHI_109900A	-1.06937650772864	-1.06427940431559	1.04669013600765	-1.06100759666349
EHI_109930A	4.38908025298518	4.69556569653544	-4.24850453725629	4.4209229680454
EHI_110570A	-1.69220487353556	-1.6312711115924	1.67176122849643	-1.69276229894419
EHI_110730A	-1.28176438463637	-1.25907620403136	1.28872500330425	-1.29017717522238
EHI_111050A	-1.11097264746095	-1.09872444109355	1.08557049972057	-1.10517685817437
EHI_111760A	-1.45996676562271	-1.45501908654146	1.43309328916276	-1.44986719536533
EHI_111800A	-1.3495074315962	-1.29897406957054	1.31582190617017	-1.33581841485741
EHI_112800A	-1.66953496834247	-1.66364101023571	1.64058054814807	-1.6650859993159
EHI_113900A	-1.3977893888574	-1.38921519276444	1.37365151928929	-1.38944122114609
EHI_113950A	1.26442709553972	1.6820259477814	-1.2896910925711	1.24562717471911
EHI_114000A	2.19618382762005	2.08748635771236	-2.34769493786131	2.31322970646969
EHI_114010A	2.93237366539752	6.07927744601062	-2.95760704695894	2.89827999418762
EHI_114920A	-4.08012115781511	-3.98227298511381	4.05427623045641	-4.08425064690709
EHI_115270A	1.23598296829895	1.26522420014176	-1.25854258223933	1.23935849305547
EHI_115360A	-2.02921019838309	-1.98333988019949	2.00919201630241	-2.02971069047542
EHI_115400A	1.23598296829895	1.26522420014176	-1.25854258223933	1.23935849305547
EHI_116040A	-4.95338096646531	-4.43010584208541	4.96123492750207	-5.20159416108103
EHI_117270A	3.01848698572438	3.84501572633674	-3.06269786370858	3.08649876078674
EHI_117850A	-2.51189812418259	-2.47366671381136	2.48607556542115	-2.50914032178576
EHI_118080A	-1.22689610954957	-1.32045175665256	1.20912095116848	-1.21251671056417
EHI_118220A	8.8952537379688	6.83144738462468	-10.3954547141616	8.54992376125386
EHI_118270A	-3.04915153635263	-2.7643669765808	3.02219702077632	-3.06307226646308
EHI_118290A	-1.77347302519805	-1.86527600881924	1.72204861374172	-1.76709118105174
EHI_118670A	-2.98035130657208	-2.87161720728751	2.98620715338593	-2.99341402716195
EHI_118750A	-2.15046433619179	-2.07715099277313	2.12398284923959	-2.15085481036123
EHI_119540A	-2.07091343190221	-2.02822563652375	2.04353466846245	-2.07157960141672
EHI_122790A	1.22030482570989	1.2191260311876	-1.27097233458327	1.25737257406995
EHI_122900A	1.51011614073038	1.66657674840482	-1.53494199921218	1.50171973531299
EHI_124510A	-1.12787480918918	-1.10377082615196	1.11563928870126	-1.12547449109655
EHI_124880A	-1.23071525722159	-1.18535414354334	1.21581339714027	-1.23081312273806
EHI_125310A	1.01869990998471	1.03455721668746	-1.04087531722912	1.02646893328817
EHI_125340A	-1.83347759499869	-1.72937853578973	1.80667047287539	-1.84437444870976
EHI_125600A	-2.30611485645824	-2.47658576109639	2.23228472286879	-2.289217183727
EHI_125780A	-1.06899770066983	-1.02875326440953	1.04248227046409	-1.065823981213
EHI_126130A	-1.58165850733268	-1.43444589415426	1.57996040333991	-1.59809544684668
EHI_126210A	-2.22453088666019	-2.19996367468881	2.216729928825	-2.22495661204592
EHI_126240A	-1.22732714153413	-1.48018846000325	1.20260221027622	-1.20822023995284
EHI_126270A	1.54775514609938	1.56939096405138	-1.61758797044914	1.59461452250013
EHI_126530A	2.37513976310788	3.14262403941793	-2.66499192246954	2.60219415001896
EHI_126860A	-1.4851966962485	-1.46273723910012	1.46457835618579	-1.47905446823881
EHI_126870A	-2.15005798878338	-2.15564076248778	2.12365409299043	-2.14040049823761
EHI_126980A	-3.48268611832319	-3.13821680166798	3.48135387285857	-3.51529105209429
EHI_127360A	-1.73190657659433	-1.6742072171281	1.71098920979501	-1.73258916028267
EHI_127380A	-1.34581785495759	-1.31075252826858	1.3208667357112	-1.34462034124223
EHI_129750A	-1.10488063953734	-1.08073832030105	1.07792622289071	-1.10090861570943
