edgeR_CDC5_1	edgeR_CDC5_2	edgeR_pEhEx_1	edgeR_pEhEx_2	limma_CDC5_1	limma_CDC5_2	limma_pEhEx_1	limma_pEhEx_2	NOISeq_CDC5_1	NOISeq_CDC5_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_CDC5_1	DESeq2_CDC5_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_000130A	9.36981267662747	5.00031390578335	22.1610911079759	52.7281093054296	9.36981267662747	5.00031390578335	22.1610911079759	52.7281093054296	68.7787708156402	38.5131122587009	159.371817708867	387.048777880745	66.815431536176	36.2117866530227	152.413887145162	388.144573017183
EHI_000140A	14.3303017407244	17.7153978376325	44.6977939296464	41.5520426591701	14.3303017407244	17.7153978376325	44.6977939296464	41.5520426591701	105.19106124745	136.446454859398	321.444852667037	305.011265177761	102.188307055328	128.29318699928	307.411060513123	305.874799388541
EHI_000620A	0.183721817188774	0.14286611159381	2.34757321059067	4.01192136019573	0.183721817188774	0.14286611159381	2.34757321059067	4.01192136019573	1.34860334932628	1.10037463596288	16.8826078081427	29.4493635344045	1.31010650070933	1.03462247580065	16.145538892496	29.5327392513074
EHI_000690A	0	0	17.2781388299474	42.6983059049403	0	0	17.2781388299474	42.6983059049403	0	0	124.25599346793	313.425369044733	0	0	118.83116624877	314.312724888915
EHI_001060A	0	0.42859833478143	2.06586442531979	2.29252649154042	0	0.42859833478143	2.06586442531979	2.29252649154042	0	3.30112390788865	14.8566948711656	16.8282077339454	0	3.10386742740194	14.2080742253965	16.8758510007471
EHI_001130A	491.45586097997	307.019273815098	144.328800987115	260.201756789838	491.45586097997	307.019273815098	144.328800987115	260.201756789838	3607.5139594478	2364.70509268424	1037.94272804461	1910.00157780281	3504.53488939747	2223.40370049559	992.627731110652	1915.40908858479
EHI_001940A	54.7491015222546	35.2879295636711	123.576253805493	179.246915057316	54.7491015222546	35.2879295636711	123.576253805493	179.246915057316	401.883798099231	271.792535082832	888.700475020633	1315.75549219786	390.411737211381	255.55175152276	849.901167300988	1319.48060012091
EHI_004230A	24.2512798689182	38.8595823535164	60.0978741911212	77.802617806653	24.2512798689182	38.8595823535164	60.0978741911212	77.802617806653	178.015642111069	299.301900981904	432.194759888454	571.107299970773	172.934058093632	281.417313417776	413.325795647897	572.724193337854
EHI_004530A	20.2093998907651	22.7157117434158	10.2354191981753	9.0268230604404	20.2093998907651	22.7157117434158	10.2354191981753	9.0268230604404	148.346368425891	174.959567118098	73.6081700435022	66.2610679524101	144.111715078027	164.504973652303	70.3945495712824	66.4486633154417
EHI_004860A	36.7443634377548	26.7159628680425	66.5771762523515	61.75493236587	36.7443634377548	26.7159628680425	66.5771762523515	61.75493236587	269.720669865256	205.770056925059	478.790757438927	453.309845833155	262.021300141867	193.474402974721	457.887482991186	454.593236332625
EHI_004880A	27.7419943955049	25.0015695289168	44.5099880727992	71.068321237753	27.7419943955049	25.0015695289168	44.5099880727992	71.068321237753	203.639105748268	192.565561293505	320.094244042386	521.674439752308	197.826081607109	181.058933265113	306.119417401724	523.15138102316
