edgeR	NOISeq	DESeq2
EHI_004430A	1	1	1
EHI_006770A	1	1	1
EHI_010030A	1	1	1
EHI_017750A	1	1	1
EHI_018630A	1	1	1
EHI_035060A	1	1	1
EHI_035670A	1	1	1
EHI_038300A	1	1	1
EHI_040310A	1	1	1
EHI_048140A	1	1	1
EHI_049990A	1	1	1
EHI_057550A	1	1	1
EHI_058320A	1	1	1
EHI_083140A	1	1	1
EHI_089770A	1	1	1
EHI_092930A	1	1	1
EHI_095830A	1	1	1
EHI_098470A	1	1	1
EHI_099860A	1	1	1
EHI_103400A	1	1	1
EHI_112800A	1	1	1
EHI_118230A	1	1	1
EHI_118270A	1	1	1
EHI_118670A	1	1	1
EHI_123020A	1	1	1
EHI_126980A	1	1	1
EHI_134810A	1	1	1
EHI_144610A	1	1	1
EHI_152800A	1	1	1
EHI_155680A	1	1	1
EHI_155900A	1	1	1
EHI_169350A	1	1	1
EHI_172280A	1	1	1
EHI_178340A	1	1	1
EHI_178640A	1	1	1
EHI_179390A	1	1	1
EHI_181610A	1	1	1
EHI_183200A	1	1	1
EHI_188960A	1	1	1
EHI_194430A	1	1	1
EHI_000130A	1	1	0
EHI_000690A	1	1	0
EHI_001060A	1	1	0
EHI_012420A	1	1	0
EHI_020080A	1	0	1
EHI_028990A	1	0	1
EHI_032670A	1	1	0
EHI_033240A	1	1	0
EHI_035510A	1	1	0
EHI_036560A	1	1	0
EHI_044610A	1	1	0
EHI_044820A	1	1	0
EHI_045280A	1	1	0
EHI_050000A	1	1	0
EHI_056690A	1	0	1
EHI_058090A	0	1	1
EHI_062500A	1	0	1
EHI_069280A	1	1	0
EHI_069950A	1	1	0
EHI_072640A	1	1	0
EHI_083380A	1	1	0
EHI_085680A	1	1	0
EHI_092170A	1	0	1
EHI_093840A	1	1	0
EHI_094810A	1	1	0
EHI_103370A	1	1	0
EHI_109930A	1	1	0
EHI_117270A	0	1	1
EHI_120950A	1	1	0
EHI_126210A	1	1	0
EHI_138470A	1	0	1
EHI_143440A	1	0	1
EHI_146540A	1	1	0
EHI_151890A	1	1	0
EHI_156380A	1	1	0
EHI_157360A	1	1	0
EHI_159450A	1	1	0
EHI_159910A	1	1	0
EHI_165810.mRNA	1	0	1
EHI_170160A	1	1	0
EHI_179850A	1	1	0
EHI_180000A	1	1	0
EHI_186950A	1	1	0
EHI_187780A	1	0	1
EHI_188170A	1	1	0
EHI_193940A	1	1	0
EHI_195110A	1	1	0
EHI_201200A	1	1	0
EHI_001940A	0	1	0
EHI_004860A	0	1	0
EHI_005020A	0	1	0
EHI_005030A	1	0	0
EHI_005070A	1	0	0
EHI_006960A	1	0	0
EHI_010020A	0	0	1
EHI_014110A	0	1	0
EHI_015310A	0	1	0
EHI_015320A	0	1	0
EHI_017660A	0	1	0
EHI_022010A	0	1	0
EHI_023400A	0	1	0
EHI_025830A	0	1	0
EHI_027610A	0	1	0
EHI_030070A	0	1	0
EHI_032780A	1	0	0
EHI_035600A	0	1	0
EHI_044770A	0	1	0
EHI_046600A	1	0	0
EHI_047920A	1	0	0
EHI_049000A	0	1	0
EHI_049690A	0	1	0
EHI_050740A	0	1	0
EHI_056460A	0	1	0
EHI_057850A	0	1	0
EHI_059870A	0	1	0
EHI_073540A	1	0	0
EHI_076020A	0	1	0
EHI_079890A	1	0	0
EHI_079930A	1	0	0
EHI_083270A	0	1	0
EHI_083410A	0	1	0
EHI_092430A	0	1	0
EHI_092470A	0	1	0
EHI_096340A	0	1	0
EHI_098440A	0	1	0
EHI_098800A	0	1	0
EHI_103310A	0	1	0
EHI_103510A	0	1	0
EHI_104360A	0	1	0
EHI_105140A	0	1	0
EHI_108640A	0	1	0
EHI_110570A	0	1	0
EHI_111760A	0	1	0
EHI_112830A	0	1	0
EHI_114010A	0	1	0
EHI_114920A	0	1	0
EHI_116040A	1	0	0
EHI_117850A	0	1	0
EHI_118750A	0	1	0
EHI_119540A	0	1	0
EHI_120650A	1	0	0
EHI_125340A	0	1	0
EHI_126860A	1	0	0
EHI_126870A	0	1	0
EHI_127400A	1	0	0
EHI_131470A	0	1	0
EHI_131940A	0	1	0
EHI_134600A	1	0	0
EHI_134840A	1	0	0
EHI_135060A	0	1	0
EHI_135080A	0	1	0
EHI_137810A	0	1	0
EHI_140540A	0	1	0
EHI_140550A	0	1	0
EHI_140770A	0	1	0
EHI_141800A	0	1	0
EHI_148190A	0	1	0
EHI_148470A	0	1	0
EHI_153690A	0	1	0
EHI_156660A	0	1	0
EHI_157010A	0	1	0
EHI_158270A	0	1	0
EHI_158570A	0	1	0
EHI_161170A	0	1	0
EHI_163670A	0	1	0
EHI_167270A	0	1	0
EHI_167310A	0	1	0
EHI_170060A	0	1	0
EHI_174910A	0	1	0
EHI_175700A	0	1	0
EHI_176820A	0	1	0
EHI_177520A	0	1	0
EHI_182550A	1	0	0
EHI_182850A	0	1	0
EHI_186720A	0	1	0
EHI_194540A	0	1	0
EHI_196370A	1	0	0
EHI_198930A	0	1	0
EHI_199650A	0	1	0
EHI_202460A	1	0	0
