"","UmasM_1","UmasM_2","UmasM_3","pEhEx_1","pEhEx_2","pEhEx_3"
"EHI_000130A",52.7956931260307,428.313018213465,877.32974893138,175.05489636016,432.494027061102,478.296324990339
"EHI_000140A",117.590407417068,370.707628105642,43.7103789503178,353.076824862017,340.824097412281,38.7807831073248
"EHI_000240A",743.939312230432,1164.98430112175,7104.49766438916,1174.94472811226,1932.12005567514,2122.17063115083
"EHI_000250A",704.342542385909,212.801088163019,1578.25689709898,324.89001951589,326.721031312463,658.555150174385
"EHI_000260A",118.790309533569,96.2348870036584,138.93656166351,109.038431207388,66.989563974138,50.2713855094951
"EHI_000280A",57.5953015920335,59.6385215233939,34.3438691752497,54.8900946214061,83.443141090593,61.7619879116654
"EHI_000290A",26.3978465630153,19.6536036838457,70.2488233130108,18.5439508856102,14.1030660998185,81.1523794653277
"EHI_000300A",80.3934418055467,115.210780215647,15.6108496251135,133.516446376393,115.175039815185,31.5991566059683
"EHI_000410A",20.3983359805119,24.397576986843,138.93656166351,28.1868053461274,24.6803656746824,65.3528011623436
"EHI_000430A",31.1974550290181,35.9186550084077,14.0497646626022,25.9615312398542,14.1030660998185,10.7724397520347
"EHI_000440A",338.372396853197,481.852145490149,131.131136850954,404.258129306301,276.185044454779,303.064638357242
"EHI_000480A",19.1984338640112,16.9427617964187,4.68325488753405,25.2197732044298,22.329854658046,11.4906024021703
"EHI_000510A",11075.0965353014,6808.2794002729,6996.78280197588,9322.41498921394,12109.8327577108,7717.37583835763
"EHI_000520A",23.9980423300139,21.0090246275592,3.1221699250227,17.0604348147613,19.9793436414096,12.9269277024416
"EHI_000540A",38.3968677280223,23.7198665149862,51.5158037628746,32.6373535586739,12.9278105915003,76.1252409143782
"EHI_000550A",302.375333358176,216.189640522303,142.058731588533,287.80211774467,264.432489371597,122.805813173195
"EHI_000560A",67.1945185240391,46.0843120862589,15.6108496251135,46.7307562317376,48.1854758410466,8.61795180162772
"EHI_000570A",74.3939312230432,56.9276796359669,85.8596729381243,49.6977883734352,48.1854758410466,135.732740875637
"EHI_000580A",159.586981494593,132.831252483923,177.963685726294,138.708752624364,117.525550831821,177.386174583504
"EHI_000590A",15082.7696044138,7417.54111447212,3354.77158443689,10376.453157552,11562.1636908346,6492.19035722622
"EHI_000610A",1160.30534665617,956.92718626173,8470.44700658659,1447.91168514844,2678.4073034572,3824.93427462244
"EHI_000620A",5.99951058250349,44.0511806706887,142.058731588533,18.5439508856102,32.9071542329099,57.4530120108515
"EHI_000640A",10.7991190485063,0,457.397894015826,1.48351607084881,0,152.968644478892
"EHI_000650A",81.5933439220474,64.3824948263912,45.2714639128292,76.4010776487139,62.2885419408652,48.8350602092238
"EHI_000660A",27.597748679516,16.265051324562,23.4162744376703,24.4780151690054,10.5772995748639,18.6722289035267
"EHI_000670A",21.5982380970126,12.8764989652782,123.325712038397,8.15933838966847,11.7525550831821,98.3882830685832
"EHI_000690A",0,191.114353063603,0,136.483478518091,350.226141478827,0
"EHI_000700A",71.9941269900418,46.7620225581157,17.1719345876249,58.5988847985281,61.1132864325469,28.0083433552901
"EHI_000710A",33.5972592620195,53.5391272766832,4.68325488753405,34.1208696295227,30.5566432162735,10.054277101899
"EHI_000720A",195.584044989614,132.153542012066,212.307554901544,161.703251722521,125.752339390049,154.404969779163
"EHI_000730A",302.375333358176,687.8761289346,3835.58575289039,679.450360448756,981.338349445706,1979.97442642397
"EHI_000740A",136.788841281079,63.0270738826777,39.0271240627838,91.9779963926264,92.8451851571386,32.317319256104
"EHI_000770A",13.1989232815077,6.77710471856749,31.221699250227,5.93406428339525,4.70102203327284,45.9624096086812
"EHI_000780A",31.1974550290181,22.3644455712727,3.1221699250227,20.7692249918834,34.0824097412281,1.43632530027129
"EHI_000790A",52.7956931260307,58.9608110515372,179.524770688805,52.6648205151329,47.0102203327284,219.757770941507
"EHI_000800A",403.167111144234,178.237854098325,611.94530530445,255.164764185996,247.978912255142,400.734758775689
"EHI_000900A",10.7991190485063,26.4307084024132,59.3212285754314,20.027466956459,41.1339427911374,80.4342168151921
"EHI_001040A",3.59970634950209,10.1656570778512,54.6379736878973,4.45054821254644,2.35051101663642,41.6534337078673
"EHI_001050A",496.759476231289,532.680430879405,1456.49227002309,574.120719418491,580.576221109196,866.822318713722
"EHI_001060A",9.59921693200558,17.6204722682755,51.5158037628746,16.3186767793369,18.8040881330914,15.7995783029842
"EHI_001070A",520.757518561303,660.089999588473,101.470522563238,661.648167598571,765.091335915155,234.839186594355
"EHI_001100A",27.597748679516,27.7861293461267,377.782560927747,18.5439508856102,22.329854658046,214.012469740422
