"CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3"
72.5948484010218,40.9976358771933,280.545406697294,169.929668068882,411.348548964777,466.866261102271
111.027415201563,145.248767107771,643.770442068602,342.739500003338,324.160541303765,37.8540211704544
876.831894412342,752.013778090231,1122.88829028212,1140.54489076741,1837.65493070134,2071.45615849431
492.506226406932,510.713406927322,232.492289177355,315.377943280383,310.747001663609,642.81735950568
12.8108556001803,107.765214305765,2.11999047882086,105.846022059854,63.71431329074,49.0700274431817
58.3605644008214,42.168996902256,171.71922878449,53.283031513124,79.3634428709217,60.2860337159089
17.0811408002404,26.9413035764413,14.1332698588058,18.0010241598392,13.4135396401558,79.2130443011361
49.8199940007012,70.2816615037599,48.0531175199396,129.607373950842,109.543907061272,30.8440172499999
14.2342840002004,19.9131374260653,52.2930984775813,27.3615567229556,23.4736943702726,63.7910356761362
9.96399880014025,25.7699425513786,2.11999047882086,25.2014338237749,13.4135396401558,10.5150058806818
334.505674004708,324.467003942358,520.810994296992,392.422326684494,262.681817953051,295.822165443181
15.6577124002204,28.112664601504,2.82665397176115,24.4813928573813,21.2381044302467,11.2160062727272
10040.8639337413,10924.1129197344,4095.11494158897,9049.47486563436,11517.7593710138,7532.95021292043
22.7748544003206,14.056332300752,31.0931936893727,16.5609422270521,19.0025144902207,12.6180070568181
32.7388532004608,30.4553866516293,46.639790534059,31.681802521317,12.2957446701428,74.3060415568179
306.037106004308,323.295642917296,355.451736948965,279.375894960704,251.503868252921,119.871067039772
81.135418801142,66.7675784285719,105.292860448103,45.3625808827948,45.8295937705322,8.41200470454543
85.4057040012021,73.7957445789479,118.012803321028,48.242744748369,45.8295937705322,132.48907409659
155.153695602184,162.819182483711,103.172869969282,134.647660715597,111.779497001298,173.147096835227
14296.9148498012,13372.2574621154,3373.61151529693,10072.6530788796,10996.8669149877,6337.04354409089
1639.78951682308,1390.40553674938,1106.63502994449,1405.51996640024,2547.45473665959,3733.52808803408
1.42342840002004,1.17136102506267,21.9065682811489,18.0010241598392,31.2982591603635,56.0800313636362
38.432566800541,71.4530225288226,2.11999047882086,74.1642195385375,59.243133410688,47.6680266590908
21.3514260003005,25.7699425513786,7.77329842234317,23.7613518909877,10.0601547301168,18.2260101931818
17.0811408002404,9.37088820050132,21.1999047882086,7.92045063032925,11.1779497001298,96.037053710227
0,0,57.9464064211036,132.487537816416,333.102901063869,0
61.2074212008615,70.2816615037599,14.839933351746,56.8832363450919,58.1253384406751,27.3390152897726
22.7748544003206,33.9694697268173,5.6533079435223,33.1218844541041,29.0626692203375,9.81400548863633
128.108556001803,131.192434807019,40.9864825905367,156.968930673798,119.604061791389,150.715084289772
370.091384005209,482.600742325818,106.706187433983,659.557525216508,933.35879996084,1932.65808086931
163.694266002304,124.164268656643,146.98600653158,89.2850798328024,88.3058026310256,31.5450176420454
11.3874272001603,40.9976358771933,4.94664445058201,20.1611470590199,32.4160541303765,1.4020007840909
83.9822756011821,65.5962174035093,154.052641460983,51.1229086139433,44.7117988005193,214.506119965908
317.424533204468,309.239310616544,144.159352559819,247.694092439387,235.854738672739,391.158218761362
17.0811408002404,9.37088820050132,45.2264635481784,19.4411060926263,39.1228239504544,78.5120439090907
570.794788408034,521.255656152886,459.331270411187,557.311707988621,552.190715186413,846.107473198861
0,3.514083075188,10.5999523941043,15.8409012606585,17.8847195202077,15.422008625
629.155352808856,619.64998225815,903.115943977688,642.276542023063,727.684525478451,229.227128198863
35.5857100005009,18.7417764010026,72.0796762799094,18.0010241598392,21.2381044302467,208.898116829545
76.8651336010819,55.0539681779453,272.065444782011,75.6043014713246,100.601547301168,49.7710278352271
3807.67097005359,2517.25484285967,4553.03288501427,1106.70296534691,2029.91566554357,27.3390152897726
18.5045692002605,23.4272205012533,16.9599238305669,41.0423350844334,33.5338491003895,3.50500196022726
78.2885620011019,91.3661599548879,14.839933351746,82.8047111352603,52.5363635906101,25.2360141136363
17.0811408002404,11.7136102506267,33.9198476611338,7.92045063032925,4.47117988005193,154.921086642045
1373.60840601933,2003.02735285716,79.1463112093122,1721.61795064702,2134.9883927248,1859.75404009658
15.6577124002204,23.4272205012533,9.18662540822374,25.2014338237749,15.6491295801817,18.2260101931818
9965.42222854027,8822.691240772,10272.767196873,8721.13618495889,11957.0527942289,3612.25502021022
12.8108556001803,15.2276933258147,14.1332698588058,8.64049159672281,17.8847195202077,2.10300117613636
133.802269601883,330.323809067672,43.1064730693576,394.582449583675,234.736943702726,29.442016465909
7954.11789931196,5299.2372773835,23779.9332009336,4557.85931727128,2787.78065521238,21448.5089954147
11.3874272001603,4.68544410025066,12.7199428729252,6.48036869754211,2.23558994002596,16.8240094090909
15.6577124002204,11.7136102506267,23.3198952670295,8.64049159672281,1.11779497001298,34.3490192102272
669.011348009417,593.880039706771,894.635982062404,609.874698535352,499.654351595803,302.13116897159
0,30.4553866516293,23.3198952670295,24.4813928573813,23.4736943702726,25.2360141136363
35.5857100005009,36.3121917769426,18.3732508164475,50.4028676475497,43.5940038305063,72.904040772727
103.910273201463,149.934211208021,59.3597334069842,120.246841387726,138.60657628161,279.699156426135
159.423980802244,145.248767107771,115.186149349267,169.209627102488,146.431141071701,380.643212880681
15.6577124002204,9.37088820050132,29.6798667034921,5.76032773114854,0,27.3390152897726
12.8108556001803,2.34272205012533,21.9065682811489,9.36053256311638,3.35338491003895,18.2260101931818
8.54057040012021,0,12.7199428729252,1.44008193278714,2.23558994002596,9.81400548863633
